experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,371,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.371,8,8,None,0.37693023786702573,0.29603400162855775,0.1420764042184926,0.35745784471890696,-0.5298135409398784,"0.3480047059754408,0.36136184478901606,0.37432813482366056,0.37979782145579843,0.3838688367867088,0.38406419561603167,0.39524693633161084,0.3866172615193757","0.2730061545010769,0.27831831734830687,0.2878182615655841,0.29457476142681005,0.2997714748021328,0.30224306686719254,0.3172155538761255,0.31532442264123395","0.12110727538105301,0.13058238286932092,0.1401215525205606,0.14424638518257055,0.14735528385598087,0.14750530635418943,0.15622014067952442,0.14947290690474135","0.3237994444876379,0.3264486017538321,0.3376521509279271,0.3483110684566866,0.35471851895202317,0.381254222388995,0.38492031418957745,0.40255843659457624","-0.35363118668346294,-0.3419461509598145,-0.41516211270110825,-0.48550202292409983,-0.5607916873919581,-0.5999636399395012,-0.7474979384089662,-0.7340135885101189","0.12509694695472717,0.11837739497423172,0.11197631061077118,0.10589360445737839,0.09953758120536804,0.09302955120801926,0.0869593545794487,0.08053573966026306,0.07460550218820572,0.06912270933389664,0.06272107362747192,0.05723905190825462,0.05220954492688179,0.047774169594049454,0.043866049498319626,0.040705859661102295,0.03832114860415459,0.037192296236753464,0.03618442267179489,0.036085352301597595,0.03686565160751343,0.03778569772839546,0.038538843393325806,0.03946811333298683,0.04001128673553467,0.038423798978328705,0.03863354027271271,0.03837171569466591,0.03750675171613693,0.03767970949411392,0.03682228550314903,0.036689259111881256,0.035740919411182404,0.035740647464990616,0.03549256920814514","0.42919406294822693,0.41168084740638733,0.394015908241272,0.37598758935928345,0.35751447081565857,0.3385062515735626,0.3189510405063629,0.2988516390323639,0.2783682644367218,0.2576709985733032,0.23689109086990356,0.21631501615047455,0.19631607830524445,0.17734038829803467,0.15980158746242523,0.14421159029006958,0.13103610277175903,0.12053464353084564,0.11267247796058655,0.10722248256206512,0.10373546183109283,0.1016496792435646,0.10045323520898819,0.0998338907957077,0.09972750395536423,0.10015163570642471,0.10121344774961472,0.10288109630346298,0.10507338494062424,0.10769075155258179,0.1104239821434021,0.11319829523563385,0.1157028079032898,0.11785683780908585,0.11967337876558304","Alface Crespa - Roça"
1,V0,372,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.372,8,8,None,0.4005219999766374,0.31948485067396454,0.16041787246528555,0.383065583594405,-0.7240341814322078,"0.3580099515332958,0.39108157878687944,0.4080950571335442,0.4065370257919883,0.4105774404874155,0.41551556070862444,0.4201549722967712,0.39071205188533215","0.2779606543815497,0.2998785365494815,0.31709032390334396,0.3182426339207274,0.32833962134881456,0.34047336543690077,0.34474385015169784,0.3291498196992007","0.1281711253968728,0.1529448012664382,0.16654157565683073,0.16527235333979579,0.16857383463719722,0.17265318119100256,0.17653020074570056,0.15265590748844646","0.33665614065713473,0.35389869236600063,0.3654427242548073,0.37336190930762636,0.38864898184836905,0.42374192016732015,0.40846859116560963,0.41430570898837216","-0.43258472311950813,-0.5717563338862193,-0.6819919835280821,-0.702035131826366,-0.7855392282415592,-0.8727381343298029,-0.974688798308486,-0.7709391182176382","0.12688109278678894,0.12020930647850037,0.11379886418581009,0.10736971348524094,0.10129398852586746,0.0951266884803772,0.08920611441135406,0.08274051547050476,0.07738921046257019,0.07145412266254425,0.0655985176563263,0.0609591118991375,0.05607510730624199,0.05142437294125557,0.047103650867938995,0.044079072773456573,0.04119491949677467,0.0396571084856987,0.03848693519830704,0.03767784684896469,0.03795492649078369,0.03799401596188545,0.03851770982146263,0.03823775053024292,0.03837063908576965,0.03796743229031563,0.037448856979608536,0.037432000041007996,0.03722067549824715,0.03700105473399162,0.036641400307416916,0.03649237006902695,0.03606787323951721,0.03568745777010918,0.035893719643354416","0.43815428018569946,0.41861850023269653,0.399734765291214,0.38123559951782227,0.3627719283103943,0.34404367208480835,0.32488515973091125,0.305318146944046,0.28537893295288086,0.2651759386062622,0.24483853578567505,0.22472316026687622,0.20517724752426147,0.18654021620750427,0.16920241713523865,0.15360762178897858,0.1400240808725357,0.12884323298931122,0.12009324878454208,0.11348658055067062,0.10875306278467178,0.10549644380807877,0.10347087681293488,0.10247761756181717,0.10243480652570724,0.10321830958127975,0.10473228245973587,0.10684246569871902,0.10929835587739944,0.11189820617437363,0.11454593390226364,0.11711440235376358,0.11931600421667099,0.12105749547481537,0.12250524014234543","Alface Crespa - Roça"
1,V0,373,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.373,8,8,None,0.380919134745379,0.2984418565061959,0.14509938721516819,0.35500247017939746,-0.5636238840367611,"0.3297889465371698,0.34611138620814247,0.38620070420238034,0.3830716457025871,0.38975378213120093,0.38407970150018844,0.4194534176478713,0.4012231171880495","0.25710629018147785,0.26465003159551914,0.29927403045423095,0.2967284095648563,0.3030577488234548,0.30282206869847844,0.3373983503760714,0.3264979223554785","0.10876074925809623,0.11979309166292194,0.1491509839264145,0.14674388574128844,0.15190801068557563,0.14751721710447385,0.17594116957647957,0.1609799897660953","0.31058962329174256,0.30848308644771544,0.34968587456358247,0.34971191449409694,0.3594526108851486,0.36497923134062904,0.3934373253056037,0.40368009510666086","-0.2156325176963887,-0.2310686536445674,-0.5063551447146735,-0.5112221969689035,-0.6090143096465004,-0.6000928337146305,-0.9680998223326935,-0.8675055935757316","0.12392674386501312,0.11671114712953568,0.10941612720489502,0.10289479792118073,0.09592181444168091,0.08949755877256393,0.08284502476453781,0.076870396733284,0.07145091891288757,0.06427303701639175,0.059249356389045715,0.05382733419537544,0.049371130764484406,0.04520802944898605,0.04200440272688866,0.03977629542350769,0.037900444120168686,0.036979228258132935,0.03686963766813278,0.036818403750658035,0.037833113223314285,0.03839166834950447,0.03933829441666603,0.039222218096256256,0.0387590266764164,0.03845718502998352,0.03825589641928673,0.037632983177900314,0.03676927089691162,0.03688223287463188,0.03618762642145157,0.03583676740527153","0.41993534564971924,0.4000447392463684,0.38023000955581665,0.3603895902633667,0.34037813544273376,0.32008111476898193,0.299445778131485,0.2785930633544922,0.2576056122779846,0.23651881515979767,0.21566292643547058,0.1954110711812973,0.17613500356674194,0.15832680463790894,0.14243577420711517,0.12887553870677948,0.11786625534296036,0.10956574976444244,0.10378169268369675,0.10011888295412064,0.09814967960119247,0.09734983742237091,0.09746607393026352,0.09828855842351913,0.09968864172697067,0.10161906480789185,0.10405152291059494,0.10689519345760345,0.10988543182611465,0.11287388950586319,0.11556708067655563,0.1179337128996849","Alface Crespa - Roça"
1,V0,374,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.374,8,8,None,0.3664838384286771,0.285479335398385,0.1343104038294167,0.33743147627761627,-0.44850933364953766,"0.2927300389884969,0.3386465601213161,0.3609316246200587,0.36591955233156237,0.37781555912124465,0.3784788080754509,0.40096962963670746,0.4039488297178363","0.23051793118679162,0.26439369014537695,0.2814500206889528,0.2815024075724862,0.2926935874548825,0.29064485732714335,0.3166508301099142,0.32598135870153255","0.08569087572620693,0.11468149268200016,0.13027163765087496,0.13389711877853103,0.14274459671409873,0.14324620816221403,0.16077664389099833,0.1631746570304095","0.27531917089624147,0.3062641482937892,0.3266826261496921,0.34063694831426405,0.3542823150917253,0.3479057151920001,0.36744438555655157,0.38091650072666605","0.04222234847372652,-0.17853866891789383,-0.3156825816356428,-0.37892149295433564,-0.511955147731473,-0.5537659646522817,-0.7984675504818362,-0.8929656112965652","0.12268950790166855,0.11466792225837708,0.10755482316017151,0.099688321352005,0.09190069884061813,0.08519996702671051,0.07827173173427582,0.0722832977771759,0.0663258284330368,0.06044172868132591,0.05511128902435303,0.05167226493358612,0.0480273999273777,0.04488849267363548,0.04266567900776863,0.041992876678705215,0.04020962119102478,0.040379598736763,0.03923104330897331,0.04104457423090935,0.03991515934467316,0.04085119441151619,0.04004180058836937,0.03960529342293739,0.03984017297625542,0.039517223834991455,0.03919539228081703,0.03871225565671921,0.03859977424144745,0.037653855979442596,0.038003016263246536,0.03761592134833336,0.037295278161764145","0.40150997042655945,0.3781086802482605,0.3549221456050873,0.3318691551685333,0.30892810225486755,0.286166787147522,0.26368024945259094,0.2416621297597885,0.22036243975162506,0.20003515481948853,0.1810055524110794,0.1636248081922531,0.1481577754020691,0.13490241765975952,0.12398606538772583,0.11542703211307526,0.108995221555233,0.10430634766817093,0.10090263932943344,0.09861010313034058,0.09713838249444962,0.0963696539402008,0.09623488038778305,0.09667228162288666,0.09772192686796188,0.09922335296869278,0.10102925449609756,0.1030997484922409,0.10530858486890793,0.10733769834041595,0.10925734788179398,0.11098562926054001,0.11248943954706192","Alface Crespa - Roça"
1,V0,375,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.375,8,8,None,0.411985951394238,0.3296835321215066,0.16973242414621542,0.3831719878560419,-0.8254136128151555,"0.3732120089976417,0.39349144265836616,0.4177956938767148,0.4194746713022307,0.40490805037721883,0.4676627265979842,0.3910070813257319,0.4215197974260004","0.2926084456516035,0.305404007955031,0.3291216482465918,0.33043858205910887,0.3269034463492307,0.3829939352165569,0.3187285354209669,0.35126965607296345","0.1392872036600558,0.15483551544536228,0.17455324182192555,0.1759589998641145,0.1639505292602804,0.21870842584906092,0.15288653764686755,0.17767893962205641","0.34217665406690356,0.3564123303670817,0.3746443984700886,0.3802541432412786,0.38735133501028673,0.4204411392387846,0.39376792301577224,0.4103279794381387","-0.5568305222534942,-0.5911864940595977,-0.7629060628577979,-0.8120901256486202,-0.7365690358484653,-1.3722911246776546,-0.7102078399510963,-1.0612276972245178","0.12229374051094055,0.11578533053398132,0.10888167470693588,0.10241080820560455,0.09647705405950546,0.08974727988243103,0.08458077907562256,0.07803454250097275,0.072765052318573,0.06700330972671509,0.062023527920246124,0.05747910961508751,0.05345785990357399,0.049969907850027084,0.04631023854017258,0.04414480924606323,0.042396266013383865,0.04082728549838066,0.04042087495326996,0.03973634913563728,0.03884217515587807,0.039102040231227875,0.038584206253290176,0.03830283135175705,0.03796672075986862,0.037937846034765244,0.037777941673994064,0.03730458766222,0.03680922091007233,0.036783069372177124,0.03654831647872925,0.03618743270635605,0.036349520087242126,0.03628584370017052","0.4162845015525818,0.39853379130363464,0.3808407783508301,0.36311593651771545,0.34525611996650696,0.3271622061729431,0.3088725805282593,0.2903962731361389,0.271823525428772,0.2532879114151001,0.23500604927539825,0.21725262701511383,0.2002515345811844,0.18434365093708038,0.1698150485754013,0.15684100985527039,0.14567714929580688,0.13624192774295807,0.1286567747592926,0.12280053645372391,0.11829501390457153,0.11510974168777466,0.11313638836145401,0.11228436976671219,0.11230918020009995,0.11307527869939804,0.11463358253240585,0.11667066067457199,0.11881296336650848,0.120840884745121,0.12271542102098465,0.12440425157546997,0.1258106529712677,0.1269688457250595","Alface Crespa - Roça"
2,V0,376,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.376,8,1,0,0.28197644257228777,0.21900987102768638,0.0795107141657227,0.24385127045513802,0.07760769727069672,"0.28197644257228777","0.21900987102768638","0.0795107141657227","0.24385127045513802","0.07760769727069672","0.1312820464372635,0.12188330292701721,0.11500021815299988,0.10608717799186707,0.09892929345369339,0.09274087846279144,0.08466702699661255,0.0786987841129303,0.07206389307975769,0.06718092411756516,0.061800267547369,0.05840059369802475,0.05322355777025223,0.04665375500917435,0.04444214701652527,0.0408456027507782,0.03922979161143303,0.03617017716169357,0.03441736474633217,0.032622966915369034,0.03139987215399742,0.028668327257037163,0.03034198097884655,0.027797624468803406,0.027905985713005066,0.027615798637270927,0.028347276151180267,0.03032999485731125,0.028387978672981262,0.027012649923563004,0.02523982524871826,0.029151687398552895,0.027326511219143867,0.025692451745271683,0.025782300159335136,0.02470969408750534,0.02497478760778904,0.025854498147964478,0.026179291307926178,0.024641774594783783,0.024040430784225464,0.025235557928681374,0.026035573333501816,0.025296544656157494,0.02245338074862957,0.023425886407494545,0.022754928097128868,0.022491881623864174,0.024198872968554497,0.02239103615283966,0.02487511746585369,0.023068569600582123,0.02340833656489849,0.021459069103002548,0.020987994968891144,0.02155311591923237,0.018192008137702942,0.022053975611925125,0.021313464269042015,0.020069049671292305,0.018934190273284912,0.01951020397245884,0.019877081736922264,0.019964583218097687,0.021569283679127693,0.018425149843096733,0.018316345289349556,0.020441710948944092,0.017707113176584244,0.01493875216692686,0.017258111387491226,0.01785813458263874","0.4263264536857605,0.4010677933692932,0.3767767548561096,0.3534461259841919,0.330891877412796,0.30905425548553467,0.2879583239555359,0.26778146624565125,0.24849560856819153,0.23010991513729095,0.21272704005241394,0.19634294509887695,0.1810775101184845,0.16686823964118958,0.1538933366537094,0.14222653210163116,0.13190993666648865,0.12293481081724167,0.11528310179710388,0.10893980413675308,0.10383807867765427,0.09980625659227371,0.09664250910282135,0.09421347081661224,0.0923372432589531,0.09089529514312744,0.0897139459848404,0.08865527808666229,0.08763102442026138,0.08656696230173111,0.0854235589504242,0.08426825702190399,0.08308812975883484,0.08191148936748505,0.08079251646995544,0.0797814130783081,0.07887594401836395,0.07804924994707108,0.07729674875736237,0.07660701870918274,0.07595700025558472,0.07533180713653564,0.07475074380636215,0.07422345131635666,0.0736578106880188,0.07304933667182922,0.07238369435071945,0.07167896628379822,0.07097533345222473,0.07030166685581207,0.06964991986751556,0.06903158128261566,0.06842271238565445,0.06783025711774826,0.06727228313684464,0.06680365651845932,0.06626014411449432,0.06566203385591507,0.06509379297494888,0.06466232985258102,0.06420116126537323,0.06391111761331558,0.06391783803701401,0.0641428679227829,0.06436746567487717,0.06446082144975662,0.06452632695436478,0.06451107561588287,0.06419563293457031,0.06411419808864594,0.06413614004850388,0.06403255462646484","Alface Crespa - Roça"
2,V0,377,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.377,8,1,0,0.2452648126398095,0.19685729137333954,0.060154828319240856,0.22567711179287248,0.3021525313177126,"0.2452648126398095","0.19685729137333954","0.060154828319240856","0.22567711179287248","0.3021525313177126","0.0557236485183239,0.0515298917889595,0.04485668987035751,0.04912727326154709,0.037262529134750366,0.034690286964178085,0.03755675256252289,0.03349999710917473,0.034030091017484665,0.0279181357473135,0.029116244986653328,0.031931135803461075,0.029394609853625298,0.028895260766148567,0.029012909159064293,0.03037356398999691,0.026835711672902107,0.03186968341469765,0.026424134150147438,0.03028915636241436,0.030076604336500168,0.0292088333517313,0.029949599876999855,0.030943626537919044,0.027144746854901314,0.024170709773898125,0.022096971049904823,0.023516176268458366,0.02765713259577751,0.027868200093507767,0.02379303053021431,0.02370087057352066,0.02388262376189232,0.022768300026655197,0.024412184953689575,0.022931063547730446,0.025057336315512657,0.022097567096352577,0.020394092425704002,0.020818689838051796,0.02415219321846962,0.02220921404659748,0.02204933762550354,0.02381792664527893,0.022516615688800812,0.024744244292378426,0.020835094153881073,0.01861574687063694,0.0223692599684,0.019413843750953674,0.021160343661904335,0.02040400728583336,0.022144485265016556,0.022712023928761482,0.02085695043206215,0.017828935757279396,0.019975695759058,0.017820971086621284,0.016897328197956085,0.018952295184135437,0.022404009476304054,0.01739753596484661,0.016838205978274345,0.017274225130677223,0.016947124153375626,0.017617955803871155,0.017054324969649315,0.014960117638111115,0.016831224784255028,0.01704883761703968,0.019789161160588264,0.015096064656972885,0.017305510118603706,0.014242647215723991,0.01771082542836666,0.012708107009530067,0.013858179561793804,0.013626223430037498,0.014912880957126617,0.013893451541662216,0.014030620455741882,0.01196612510830164","0.13029810786247253,0.11953585594892502,0.11035053431987762,0.1028277575969696,0.09685467928647995,0.0923515260219574,0.0892791599035263,0.08735820651054382,0.08635128289461136,0.08586997538805008,0.08572782576084137,0.08570154756307602,0.08550911396741867,0.08494523167610168,0.08399789780378342,0.08269325643777847,0.08109685778617859,0.07941759377717972,0.07762637734413147,0.07592321932315826,0.07433157414197922,0.07291418313980103,0.07181299477815628,0.07106214016675949,0.07060117274522781,0.07033797353506088,0.07015861570835114,0.07000278681516647,0.0698227658867836,0.06958288699388504,0.06926970928907394,0.06895893067121506,0.06861463934183121,0.06824321299791336,0.06786070019006729,0.06729996204376221,0.06659935414791107,0.06589969992637634,0.0651860237121582,0.06440584361553192,0.063628189265728,0.06292945891618729,0.06233023852109909,0.061914484947919846,0.06169743090867996,0.061364658176898956,0.060939326882362366,0.06062040850520134,0.060409750789403915,0.0602261945605278,0.059977367520332336,0.05962693318724632,0.05916071683168411,0.05878792703151703,0.05844038352370262,0.05804392322897911,0.05769854038953781,0.05734143406152725,0.05668298155069351,0.05584162846207619,0.05510065704584122,0.05440608412027359,0.053714312613010406,0.05298915132880211,0.05225641280412674,0.051636457443237305,0.051145296543836594,0.0508207306265831,0.05041337013244629,0.05001625046133995,0.049694038927555084,0.049441881477832794,0.04944552481174469,0.04956503212451935,0.0496889129281044,0.0497162863612175,0.04966627061367035,0.049600038677453995,0.0496891550719738,0.049764249473810196,0.049809396266937256,0.04984471946954727","Alface Crespa - Roça"
2,V0,378,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.378,8,1,0,0.2971741735213551,0.24168468809850288,0.08831248940810048,0.2721492544491237,-0.024500425126505965,"0.2971741735213551","0.24168468809850288","0.08831248940810048","0.2721492544491237","-0.024500425126505965","0.12106595933437347,0.11504911631345749,0.11044260859489441,0.10605930536985397,0.09979710727930069,0.09453588724136353,0.08969948440790176,0.08498098701238632,0.0800342857837677,0.07556679844856262,0.07072128355503082,0.0669730082154274,0.06157807633280754,0.05843829736113548,0.0555402971804142,0.05089466646313667,0.04790259152650833,0.04223325103521347,0.04152916744351387,0.03751083463430405,0.03558213263750076,0.03325309604406357,0.03025306575000286,0.029169322922825813,0.027623647823929787,0.02729707956314087,0.02452068030834198,0.022610560059547424,0.023666048422455788,0.02249106764793396,0.02027503214776516,0.021778833121061325,0.020516222342848778,0.022142117843031883,0.02118905819952488,0.022663161158561707,0.023338133469223976,0.022537002339959145,0.01895548403263092,0.020410258322954178,0.020039955154061317,0.018919726833701134,0.01863248646259308,0.018006706610322,0.019221588969230652,0.01875062845647335,0.01742243953049183,0.016198888421058655","0.4155838191509247,0.40380239486694336,0.39188486337661743,0.37994086742401123,0.36791977286338806,0.35585567355155945,0.34362441301345825,0.33120059967041016,0.3184644877910614,0.30552369356155396,0.29236239194869995,0.2791749835014343,0.2659509479999542,0.2527647614479065,0.2396126687526703,0.22658944129943848,0.21345995366573334,0.19976688921451569,0.18637055158615112,0.17334938049316406,0.1608608067035675,0.14900565147399902,0.13785110414028168,0.12759390473365784,0.11826570332050323,0.10987261682748795,0.10239748656749725,0.09582138061523438,0.09023920446634293,0.0855986550450325,0.08138097077608109,0.07792451977729797,0.07517232745885849,0.0730946809053421,0.07165844738483429,0.0706133097410202,0.07013116776943207,0.07000010460615158,0.07022009044885635,0.07062961161136627,0.07138564437627792,0.07262779772281647,0.07396050542593002,0.07517595589160919,0.07613891363143921,0.07678485661745071,0.0771622583270073,0.07726584374904633","Alface Crespa - Roça"
2,V0,379,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.379,8,1,0,0.2906406691001521,0.2389998131123456,0.08447199853498413,0.2698597287211172,0.02005255439624387,"0.2906406691001521","0.2389998131123456","0.08447199853498413","0.2698597287211172","0.02005255439624387","0.12408963590860367,0.11652626097202301,0.1094905212521553,0.1026412695646286,0.09705445170402527,0.09045539051294327,0.08547286689281464,0.07947991043329239,0.0740521252155304,0.06974326819181442,0.06462495028972626,0.059699803590774536,0.056006211787462234,0.052786245942115784,0.048606183379888535,0.04487112909555435,0.04158458113670349,0.03822533041238785,0.035992369055747986,0.03448137268424034,0.033433470875024796,0.032063014805316925,0.03084718808531761,0.029751453548669815,0.02926965244114399,0.027726631611585617,0.028629574924707413,0.02745521068572998,0.029628919437527657,0.027224816381931305,0.027890361845493317,0.029439296573400497,0.02821369096636772,0.026734383776783943,0.027158208191394806,0.027835680171847343,0.02677384950220585,0.027360687032341957,0.026804182678461075,0.027986040338873863,0.026279442012310028,0.025793470442295074,0.02416756935417652,0.02618694305419922,0.02540557272732258,0.024575160816311836,0.024256540462374687,0.025618398562073708,0.02371964231133461,0.02304372563958168,0.023515835404396057,0.02225145697593689,0.023947658017277718,0.02299310266971588,0.022523492574691772,0.02177412062883377,0.02174409292638302,0.022119054570794106,0.020709842443466187,0.020649708807468414,0.020683513954281807,0.01998315006494522,0.019434219226241112,0.01889560930430889,0.01858658529818058,0.01908167079091072,0.01799902506172657,0.018945937976241112,0.020719556137919426,0.018163098022341728,0.019705314189195633,0.019041219726204872,0.017026089131832123,0.01898699626326561,0.01658363826572895,0.018593918532133102,0.01839129440486431,0.01902838982641697,0.017129188403487206,0.017838547006249428,0.01644127070903778,0.015197981148958206,0.01615734212100506,0.018701689317822456,0.01637447066605091,0.016738448292016983,0.01718464493751526,0.015655579045414925,0.014198515564203262","0.4393013119697571,0.4215840697288513,0.4044787585735321,0.3877811133861542,0.3715100884437561,0.3556314706802368,0.34020698070526123,0.32519516348838806,0.3105497360229492,0.2962677776813507,0.28242069482803345,0.26884958148002625,0.25559350848197937,0.2426455020904541,0.2299843579530716,0.21770165860652924,0.20561805367469788,0.19381944835186005,0.1824769824743271,0.17175374925136566,0.16171400249004364,0.1524467021226883,0.1440168023109436,0.1364896446466446,0.12986139953136444,0.12412461638450623,0.11929423362016678,0.11523637175559998,0.11194323003292084,0.10928886383771896,0.10730357468128204,0.10585916042327881,0.10479219257831573,0.10408170521259308,0.10365825146436691,0.10351623594760895,0.10353983938694,0.10369924455881119,0.10396093875169754,0.10434296727180481,0.1046295166015625,0.10471859574317932,0.10447777062654495,0.10403737425804138,0.10338384658098221,0.10257096588611603,0.10166461020708084,0.10065342485904694,0.09951242804527283,0.09822248667478561,0.09697870165109634,0.09593944996595383,0.09511999040842056,0.09458807110786438,0.09434158354997635,0.09402009099721909,0.09375958144664764,0.09367192536592484,0.09360779821872711,0.09348352998495102,0.09317052364349365,0.09278305619955063,0.09201981127262115,0.09127134829759598,0.09054163098335266,0.08999526500701904,0.08939628303050995,0.08980011940002441,0.0904751718044281,0.09119190275669098,0.09156957268714905,0.0912594124674797,0.09105782955884933,0.09045008569955826,0.08948025107383728,0.08866922557353973,0.08791153132915497,0.08687281608581543,0.08624251931905746,0.08689194172620773,0.08761879801750183,0.08833642303943634,0.088570237159729,0.08865360915660858,0.088901586830616,0.08917345106601715,0.0891229435801506,0.08929578214883804,0.08934386074542999","Alface Crespa - Roça"
2,V0,380,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.380,8,1,0,0.30140606399232595,0.24695941446044228,0.09084561541134609,0.27309319208799615,-0.05388685375758562,"0.30140606399232595","0.24695941446044228","0.09084561541134609","0.27309319208799615","-0.05388685375758562","0.18380986154079437,0.17442212998867035,0.16379432380199432,0.15714310109615326,0.14759954810142517,0.13851386308670044,0.13377156853675842,0.1259472370147705,0.12034150958061218,0.11343631893396378,0.10885578393936157,0.10337096452713013,0.09870195388793945,0.09373176842927933,0.08855421841144562,0.08414173871278763,0.07989684492349625,0.07616385072469711,0.07122719287872314,0.06815171986818314,0.06498772650957108,0.061888448894023895,0.05859404057264328,0.055817801505327225,0.05281062424182892,0.05040368437767029,0.04776633903384209,0.04497499018907547,0.04236242547631264,0.0401444137096405,0.03814416751265526,0.03689867630600929,0.03487096726894379,0.03265418857336044,0.031529057770967484,0.03100796788930893,0.028125109151005745,0.02822680026292801,0.02745157480239868,0.02767246961593628,0.026619087904691696,0.02654929831624031,0.023870743811130524,0.024744560942053795,0.026632629334926605,0.023234110325574875,0.025361686944961548,0.027025647461414337,0.02463240921497345,0.02388443611562252,0.025657083839178085,0.02452663704752922,0.02577282302081585,0.02451547607779503,0.02812347747385502,0.023374078795313835,0.021008657291531563,0.023165622726082802,0.02447446808218956,0.023866882547736168,0.024473633617162704,0.024642271921038628,0.022821098566055298,0.02139636129140854,0.02103123441338539,0.022330932319164276,0.021664118394255638,0.021720752120018005,0.021596813574433327,0.022738972678780556,0.02078041434288025,0.021543243899941444,0.021471194922924042,0.02111702598631382,0.020137770101428032,0.020026560872793198,0.019304996356368065,0.020477792248129845,0.020182205364108086,0.019056014716625214,0.019445644691586494,0.022362928837537766,0.01711544394493103,0.018705939874053,0.02134782262146473,0.017919493839144707,0.01584211178123951,0.018124740570783615,0.017384730279445648,0.018743544816970825,0.020804861560463905,0.016259774565696716,0.018602436408400536,0.017591802403330803,0.01889658533036709,0.01814744435250759,0.01994224451482296,0.01585482619702816,0.01869751326739788,0.014474442228674889","0.6886323690414429,0.6592776775360107,0.6317183375358582,0.6058273315429688,0.581583559513092,0.5588864088058472,0.537566065788269,0.5175537467002869,0.498789519071579,0.4810369610786438,0.46435171365737915,0.44860032200813293,0.43357113003730774,0.4192366898059845,0.40562817454338074,0.3925532102584839,0.38003847002983093,0.3680073618888855,0.3562527894973755,0.3447030186653137,0.3334842920303345,0.32249924540519714,0.31173112988471985,0.30100151896476746,0.29052990674972534,0.2800525426864624,0.2694891691207886,0.2589249908924103,0.24835845828056335,0.23790527880191803,0.22760146856307983,0.21726323664188385,0.2070465236902237,0.1969504952430725,0.18703454732894897,0.17745457589626312,0.16820509731769562,0.1593594253063202,0.15096212923526764,0.1430595964193344,0.1356150358915329,0.1288502961397171,0.12272588908672333,0.11732446402311325,0.1126951053738594,0.10868605971336365,0.10536342114210129,0.10272424668073654,0.10064796358346939,0.09906361997127533,0.09786733984947205,0.09705973416566849,0.09665027260780334,0.0965324193239212,0.09671559929847717,0.09696921706199646,0.09713096916675568,0.09717439115047455,0.09717631340026855,0.09717439115047455,0.09719785302877426,0.09710665047168732,0.09676050394773483,0.09621772170066833,0.09558220952749252,0.0948595255613327,0.09404369443655014,0.09310539811849594,0.09215618669986725,0.09130429476499557,0.09048120677471161,0.08969765156507492,0.08896374702453613,0.08834609389305115,0.08769236505031586,0.08697342127561569,0.0862436592578888,0.08552085608243942,0.08499861508607864,0.08449052274227142,0.08405696600675583,0.08371104300022125,0.08327751606702805,0.08285532891750336,0.08235125243663788,0.08182011544704437,0.08129481971263885,0.08078400045633316,0.0804365798830986,0.08026698231697083,0.08032283186912537,0.0803995206952095,0.08046465367078781,0.08056788891553879,0.0807211697101593,0.08083009719848633,0.08091886341571808,0.08100269734859467,0.08087781071662903,0.08043350279331207","Alface Crespa - Roça"
