experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,401,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.401,8,8,None,0.37803449264776273,0.2956064116440036,0.1429100776314514,0.3582974516400055,-0.5389677759987765,"0.32612672141059484,0.351790310387185,0.3801884369924506,0.3798852012415425,0.3906618456296058,0.39259433677372735,0.4024924055037552,0.39441401980717355","0.2541822607878483,0.2698074438138442,0.2915766954060757,0.29393437887683055,0.3047724058266842,0.30917824230772073,0.3227793299357097,0.31862053619731556","0.10635863841802373,0.12375642248231197,0.14454324762276255,0.14431276612232727,0.15261667763072995,0.15413031326680285,0.1620001364881993,0.15556241902045348","0.3029666896760494,0.31561238064702135,0.3390206788308724,0.3519974564877732,0.3671956610343971,0.3848915784812102,0.4027638829685856,0.401931284994135","-0.1887838239514279,-0.2717983173342198,-0.4598191641681484,-0.48618563811603277,-0.6165205316711371,-0.6718239033870901,-0.812153690962617,-0.8046571383995396","0.12475355714559555,0.11163637042045593,0.09919696301221848,0.08717603236436844,0.07552064210176468,0.06481853127479553,0.05479282885789871,0.04698123037815094,0.04301763325929642,0.04245920479297638,0.04471234977245331,0.04804222285747528,0.049885258078575134,0.0492289699614048,0.04651051014661789,0.04462333768606186,0.04181666299700737,0.040349557995796204,0.03936270251870155,0.0386584997177124,0.03839654102921486,0.038102664053440094,0.037983644753694534,0.03730488568544388,0.03769984468817711,0.03793792426586151,0.03767102211713791,0.03779321163892746,0.03794467821717262,0.03794568032026291,0.037438929080963135,0.03697051852941513,0.03655382990837097,0.03659932687878609,0.03632828965783119,0.03613908216357231,0.035952378064394","0.3952554166316986,0.3437820076942444,0.2939455211162567,0.24519433081150055,0.1986926794052124,0.1572744995355606,0.1254679262638092,0.1090320274233818,0.1118687316775322,0.1300603747367859,0.14945979416370392,0.15660132467746735,0.14922088384628296,0.13387200236320496,0.11878055334091187,0.10816174745559692,0.10267505794763565,0.1007477268576622,0.10044388473033905,0.10046834498643875,0.10021045804023743,0.09945966303348541,0.09841150790452957,0.09723241627216339,0.0961967334151268,0.0954783633351326,0.09508012235164642,0.095131054520607,0.09570034593343735,0.09681421518325806,0.09833072125911713,0.10000236332416534,0.1015983447432518,0.10297159105539322,0.10402251780033112,0.10477937757968903,0.10529593378305435","Alface Crespa - Roça"
1,V0,402,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.402,8,8,None,0.3830030454841824,0.3007142491160017,0.14669133285015867,0.3611835723209128,-0.5812253120623526,"0.327046620383514,0.3545013661639136,0.3775429230245205,0.38354218309218585,0.39240983347651626,0.4091327170275131,0.39666991926820594,0.41537285051416634","0.25422922762235006,0.27195292763276535,0.29075178066889446,0.2968557488195824,0.306085603981307,0.32507413265921853,0.31603131849838023,0.34473325304551566","0.10695949190427834,0.12567121861208114,0.14253865872589902,0.14710460621111981,0.15398547740906723,0.1673895801423151,0.157347024852245,0.17253460494426395","0.3017808464980163,0.3181005911633113,0.33761699673697043,0.3527416744866846,0.3689132726224031,0.3926721438172349,0.3906642548682022,0.42697879837447994","-0.19549963862946962,-0.29147595868028064,-0.43957375432681567,-0.5149370282762282,-0.6310189009174059,-0.815644796461499,-0.7601034050286302,-1.0015490141784937","0.13131298124790192,0.11912006139755249,0.10788839310407639,0.0969044417142868,0.08616036921739578,0.07552078366279602,0.06510564684867859,0.05624499171972275,0.04878363385796547,0.04459259286522865,0.04258875176310539,0.044988930225372314,0.04650155082345009,0.04735758155584335,0.04647238180041313,0.045101966708898544,0.04352855309844017,0.04198065400123596,0.04067160189151764,0.039370398968458176,0.03873654082417488,0.03791721910238266,0.037703391164541245,0.03719798102974892,0.03684553876519203,0.03704007714986801,0.03720840811729431,0.03704841434955597,0.03730534389615059,0.03714028745889664,0.036968182772397995,0.036768071353435516,0.036605965346097946,0.03638557717204094,0.036132484674453735,0.035994190722703934","0.4365435540676117,0.3898525536060333,0.3446069359779358,0.2993558943271637,0.2537945508956909,0.209220752120018,0.16854259371757507,0.13623793423175812,0.11736686527729034,0.11434236168861389,0.12376406043767929,0.13516730070114136,0.13963577151298523,0.13558293879032135,0.12695398926734924,0.1180461049079895,0.11119578033685684,0.10678984969854355,0.10402796417474747,0.10208190977573395,0.10033982247114182,0.09870347380638123,0.09722422808408737,0.09595189243555069,0.09501580148935318,0.09454474598169327,0.09464246034622192,0.09528029710054398,0.09647063165903091,0.09816362708806992,0.10009915381669998,0.10206671804189682,0.10388012230396271,0.10534809529781342,0.10646957159042358,0.10722910612821579","Alface Crespa - Roça"
1,V0,403,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.403,8,8,None,0.381727475251487,0.2992271855681231,0.14571586536187459,0.35863150211872574,-0.5701663452335667,"0.33653562336706894,0.3616614809053203,0.3769727210137395,0.38194678088677075,0.38905320326687026,0.39819237730230667,0.3967487005276181,0.40786124947928964","0.2627040904074004,0.27787729553742846,0.2900704096302842,0.2961581479780601,0.3040796378381324,0.3131397589625734,0.31400747356992775,0.3357806706211784","0.11325622579506167,0.13079902677062935,0.1421084323885027,0.14588334342976686,0.15136239497221268,0.15855716934166256,0.1574095313703536,0.16635079882680737","0.307385699839005,0.32604115453550564,0.3407321669874498,0.35178898283460575,0.36774215817646644,0.37940603308679066,0.3820820241088927,0.41387379738109004","-0.2658790220479532,-0.3441725190433307,-0.43522866963700624,-0.5023600175599767,-0.603235131271332,-0.719841218384651,-0.760802610720398,-0.9298115732038874","0.13029591739177704,0.11766568571329117,0.10583849996328354,0.09417301416397095,0.0826084166765213,0.07172303646802902,0.06120738014578819,0.052284058183431625,0.04580863565206528,0.04317964240908623,0.04324456676840782,0.04684033989906311,0.04902586340904236,0.04945582151412964,0.04654693976044655,0.04451873525977135,0.04223087057471275,0.040542762726545334,0.039552949368953705,0.0387183353304863,0.038554660975933075,0.038029637187719345,0.03752841427922249,0.03722366690635681,0.037322718650102615,0.037149760872125626,0.03750099614262581,0.03716197609901428,0.03762659803032875,0.037167344242334366,0.03723640367388725,0.036733951419591904,0.036639127880334854,0.03620458394289017,0.035924315452575684,0.036029450595378876,0.0356663316488266,0.03562062978744507","0.42592334747314453,0.3780461251735687,0.3308708965778351,0.28358033299446106,0.2363956868648529,0.19123871624469757,0.1519383192062378,0.12397179752588272,0.11304334551095963,0.11986050009727478,0.13526734709739685,0.14492841064929962,0.14234235882759094,0.1306508630514145,0.1175621822476387,0.10787747800350189,0.10293229669332504,0.10153016448020935,0.10184693336486816,0.10241840779781342,0.10246244072914124,0.10175756365060806,0.1004515141248703,0.09888983517885208,0.09744912385940552,0.09638166427612305,0.09579712897539139,0.09564213454723358,0.09602069854736328,0.09692049026489258,0.09831903874874115,0.10001911222934723,0.10186301916837692,0.10363416373729706,0.10518830269575119,0.10652659088373184,0.10757116228342056,0.1084185540676117","Alface Crespa - Roça"
1,V0,404,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.404,8,8,None,0.38220466206128495,0.2989499277138349,0.14608040370138103,0.3618999473161819,-0.5725088386801744,"0.32244674329875733,0.3563233462286474,0.3912598840936492,0.38512331350560775,0.3944216859180445,0.39445065379735006,0.40410197289156663,0.40229659167650506","0.2514285560015476,0.27283347897096116,0.2987153323202422,0.29576971545363917,0.3083820967096271,0.3107177605267727,0.3237612265095567,0.32999125521833245","0.10397190226397471,0.12696632706758054,0.1530842969009758,0.14831996660553864,0.15556846632243254,0.1555913182811569,0.16329840449485644,0.16184254767453266","0.3006724777068565,0.32071228703324484,0.34324385295684173,0.35341896817800295,0.371606517008245,0.3814009054422544,0.40351276137787917,0.4206318088261311","-0.16210697499796556,-0.30478530232024315,-0.546079765223557,-0.5274532540534351,-0.6477859680531117,-0.6876711631129393,-0.8266762784808923,-0.8775120031992525","0.1259177029132843,0.11339917033910751,0.10173849016427994,0.09075373411178589,0.07957179844379425,0.06879010051488876,0.05886668711900711,0.05069293826818466,0.04497861862182617,0.04272772744297981,0.043385740369558334,0.047660719603300095,0.049004632979631424,0.04904761537909508,0.04807106778025627,0.0446673259139061,0.04338987544178963,0.041698191314935684,0.039706096053123474,0.0392962321639061,0.03880973160266876,0.03850000351667404,0.037567682564258575,0.0378500334918499,0.03761361911892891,0.03773367404937744,0.03769664093852043,0.037720419466495514,0.03754814714193344,0.03743509575724602,0.037376102060079575,0.037328049540519714,0.03707750886678696,0.036577001214027405,0.03654496744275093,0.036166634410619736","0.398688942193985,0.3493214547634125,0.3017237186431885,0.2548258900642395,0.20911769568920135,0.16672132909297943,0.13158062100410461,0.10909722000360489,0.10429102182388306,0.11716323345899582,0.1385011076927185,0.1528201848268509,0.15357090532779694,0.14364351332187653,0.12993206083774567,0.1179526075720787,0.10963401198387146,0.10485976189374924,0.10236039757728577,0.10093256086111069,0.09980892390012741,0.09865617752075195,0.09742055088281631,0.09629301726818085,0.09552500396966934,0.0951741486787796,0.0952335074543953,0.0957498699426651,0.09669286757707596,0.09788828343153,0.0991380512714386,0.10035806894302368,0.10141026228666306,0.10225816816091537,0.10291360318660736,0.10347063094377518","Alface Crespa - Roça"
1,V0,405,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.405,8,8,None,0.37746901288413737,0.2953269163523659,0.14248285568772506,0.35631471873486154,-0.5338485341901051,"0.32466354977227846,0.36152021846036836,0.37070078513226595,0.3850385931456264,0.3914482719977476,0.3957328568251664,0.38906736114152124,0.3960758906567435","0.2540069653626644,0.2777766612226313,0.28537728078437574,0.2982102091023416,0.30671770365310436,0.3119946280248237,0.30794053677356603,0.32059134589542043","0.10540642055073672,0.13069686835563246,0.13741907209767842,0.14825471821156322,0.1532317496500226,0.15660449397100765,0.15137341150562691,0.15687611115953262","0.30259658845086235,0.3229903568793415,0.3352406325884423,0.3554434116916359,0.3701122178570314,0.38263076532625573,0.3805534125236039,0.4009503645617195","-0.1781407655751137,-0.3431226753448098,-0.3878683250147483,-0.5267813022321097,-0.6230353933695991,-0.6986608983617806,-0.6932818225959136,-0.8198970910267664","0.1303715705871582,0.11728911101818085,0.10506315529346466,0.09307760745286942,0.081399105489254,0.07006222009658813,0.05929213762283325,0.050337083637714386,0.04406673088669777,0.041266631335020065,0.042820025235414505,0.04643917456269264,0.04967249929904938,0.050111323595047,0.04758834093809128,0.04498165473341942,0.04242079332470894,0.04004724323749542,0.038915254175662994,0.03857186436653137,0.03817015141248703,0.03767003118991852,0.037505075335502625,0.037265926599502563,0.03725116327404976,0.03752188757061958,0.037566181272268295,0.03767359256744385,0.03762003406882286,0.03753285109996796,0.03742068633437157,0.037095800042152405,0.03681054711341858,0.036534857004880905,0.03627537190914154,0.03599153459072113,0.03584713861346245,0.035725634545087814,0.03569952771067619","0.42517998814582825,0.37483933568000793,0.3257514238357544,0.2767111361026764,0.2280108481645584,0.18153205513954163,0.1412624716758728,0.11302390694618225,0.1030682921409607,0.11313805729150772,0.1336839348077774,0.148152694106102,0.1469934582710266,0.13425718247890472,0.1190311536192894,0.10764140635728836,0.10185087472200394,0.10038916021585464,0.10096313059329987,0.10184475779533386,0.10221784561872482,0.10178150236606598,0.10067903250455856,0.09921262413263321,0.09773487597703934,0.09648080915212631,0.09552767127752304,0.09490137547254562,0.09467761963605881,0.09494958817958832,0.09577895700931549,0.09708988666534424,0.09879601001739502,0.10072082281112671,0.10262542963027954,0.10419734567403793,0.10529439151287079,0.1060030609369278,0.10650712251663208","Alface Crespa - Roça"
2,V0,406,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.406,8,8,None,0.35118288622992255,0.26567164116375375,0.12332941958077871,0.3176675094797824,-0.3280651084775702,"0.32571094825440533,0.33092640006305063,0.35707933774238626,0.35729922833736444,0.3480057536252213,0.3602404663411878,0.3594478301563002,0.3684876114765478","0.25057532634879603,0.24749567355531632,0.26523563057003596,0.2693911888021411,0.2590342894250696,0.2727197684157978,0.2745368300784718,0.2863844221144012","0.10608762181278389,0.10951228225869022,0.12750565344254114,0.1276627385704761,0.12110800455625824,0.12977319358971645,0.12920274260407247,0.13578311981169122","0.2929372304709905,0.28819596888322196,0.3041377960904046,0.315378371482215,0.31298563907191385,0.33791658688884696,0.3400242976499773,0.34976418530068903","-0.18575463740745302,-0.12541663301505634,-0.287747435431855,-0.31471756577084453,-0.2827796997953602,-0.4076265885907171,-0.44527796067331193,-0.5752003471359632","0.12551255524158478,0.1095556765794754,0.09526126086711884,0.0812261775135994,0.06820428371429443,0.056857556104660034,0.04811874404549599,0.04399155080318451,0.045646701008081436,0.04989609867334366,0.05450631305575371,0.05285867676138878,0.04890753701329231,0.046230122447013855,0.04296933114528656,0.04113174229860306,0.04002407193183899,0.039469197392463684,0.03897847235202789,0.038787029683589935,0.03859834745526314,0.0383409820497036,0.038433339446783066,0.03849829360842705,0.038797881454229355,0.038634952157735825,0.03895241767168045,0.03821611404418945,0.038290780037641525,0.037878599017858505,0.037576429545879364,0.0372626855969429,0.03694351017475128,0.03676780313253403,0.03652983903884888","0.40234607458114624,0.3502941429615021,0.29943642020225525,0.24841319024562836,0.19898563623428345,0.15575629472732544,0.12535427510738373,0.1131855919957161,0.11560549587011337,0.12018845230340958,0.11858850717544556,0.11304822564125061,0.10850884020328522,0.10719137638807297,0.10865578800439835,0.1112733855843544,0.11358585953712463,0.11471209675073624,0.11450979858636856,0.11321638524532318,0.11128798127174377,0.1092684417963028,0.10764703154563904,0.10675949603319168,0.10660932958126068,0.10698914527893066,0.10791119933128357,0.10919171571731567,0.11075272411108017,0.11235195398330688,0.1137484535574913,0.11482387036085129,0.11554501205682755,0.11604215949773788,0.11639483273029327","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,407,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.407,8,8,None,0.354271062316792,0.269435077942682,0.12550798559506832,0.3235764999536852,-0.3501757256070519,"0.30337400138243203,0.33342887150515305,0.36602938337183255,0.36106700240415,0.36428487608670757,0.3580128235157367,0.3768705971067559,0.365511009772696","0.2350626312530402,0.24953618980176517,0.2763784850727428,0.26951007041064173,0.2737637435161706,0.27228245495304915,0.29268420613173285,0.28626284240231376","0.09203578471478786,0.11117481235319986,0.13397750949156395,0.13036938022511846,0.13270347094550788,0.12817318180171006,0.14203144696360273,0.13359829826505587","0.2801444830398325,0.2905337053596303,0.3172745332954908,0.3184808630551249,0.3290321745283426,0.3380151075827696,0.3556194661259613,0.3595116666423297","-0.028695494047194847,-0.14250183097330416,-0.3531101531200469,-0.342591551300623,-0.40559923553363797,-0.3902715472870648,-0.5887814444317003,-0.5498545481628438","0.12893198430538177,0.11060396581888199,0.09434060007333755,0.0785243883728981,0.06449183076620102,0.05284769460558891,0.045408736914396286,0.04434151574969292,0.047553252428770065,0.05158044025301933,0.05211695656180382,0.04935836419463158,0.04631391540169716,0.04296083003282547,0.04151248186826706,0.04054915904998779,0.03971201181411743,0.03927578032016754,0.03873944655060768,0.03846631571650505,0.038408808410167694,0.03823374956846237,0.03832482546567917,0.03838735818862915,0.03864932432770729,0.038579318672418594,0.03845541551709175,0.03794948011636734,0.037511203438043594,0.0371827632188797,0.03714628145098686,0.03674512356519699,0.036554381251335144,0.03660212829709053,0.036453574895858765","0.3889547288417816,0.3291850984096527,0.27186188101768494,0.21705502271652222,0.16775256395339966,0.12988817691802979,0.11050519347190857,0.10981409251689911,0.11560716480016708,0.11561249196529388,0.10991877317428589,0.10466901957988739,0.10343078523874283,0.1058456301689148,0.10983322560787201,0.11339782178401947,0.11523006111383438,0.11503421515226364,0.1132412850856781,0.11060859262943268,0.10780534148216248,0.10527016967535019,0.10336846858263016,0.10218819230794907,0.101789191365242,0.10221714526414871,0.10340989381074905,0.10507629066705704,0.10688763856887817,0.10865793377161026,0.11029940843582153,0.1116042360663414,0.11244997382164001,0.1129574254155159,0.11327142268419266","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,408,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.408,8,8,None,0.33559606551418925,0.26596934999480387,0.112624719188604,0.35529518315011227,-0.21325153137808367,"0.2535806944585801,0.30453428197713156,0.3302203762756697,0.3389413049485102,0.35969212676017565,0.3633470442215244,0.357016190412042,0.36216942179794986","0.20400945956056765,0.24311323583487304,0.2690886813077059,0.2685136063676891,0.27311317404833707,0.2874021924192255,0.29237460520050745,0.29013984521952546","0.06430316860209576,0.09274112889932706,0.10904549690764487,0.114881208200199,0.12937842605325828,0.13202107454451842,0.12746056021632743,0.1311666900854613","0.2777847659869718,0.3428969028209519,0.3735421505220047,0.3440535432084529,0.3282287600658084,0.36981605796330136,0.4028834134709942,0.4031558711624127","0.2812754299979955,0.046934217101354814,-0.10130849257983576,-0.1830886920414896,-0.370380258024148,-0.43200895071374235,-0.42578969163403135,-0.5216458131307722","0.1283322423696518,0.10913022607564926,0.09185169637203217,0.07591209560632706,0.06168970838189125,0.05048895254731178,0.044121306389570236,0.04322679713368416,0.047163933515548706,0.05187268927693367,0.05367671698331833,0.050918884575366974,0.047126654535532,0.044468916952610016,0.04246172681450844,0.041224122047424316,0.040113918483257294,0.039228904992341995","0.397346168756485,0.33462095260620117,0.2747139036655426,0.2179631143808365,0.1673216074705124,0.12839384377002716,0.10758180171251297,0.10535764694213867,0.11127680540084839,0.11378691345453262,0.11160407215356827,0.10911886394023895,0.10913894325494766,0.11160025000572205,0.11501859128475189,0.11778785288333893,0.11899643391370773,0.11834453046321869","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,409,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.409,8,8,None,0.34587589264664065,0.2706391975960948,0.11963013311411048,0.3506562485433171,-0.2868991953812053,"0.23709074174508815,0.29073757949991125,0.396314870133625,0.33906527961666494,0.357221566163939,0.35827612213995474,0.38187000377131913,0.37746024693873764","0.19278480645382043,0.2262285737052108,0.2985286621397192,0.27465098393324644,0.29579983657056624,0.28651123110453286,0.29573482902844744,0.294874657833215","0.05621201982123608,0.0845283401334672,0.15706547628903203,0.11496526384152717,0.12760724733261747,0.12836177969564377,0.1458246997803073,0.14247623801905282","0.2745839949166405,0.30650282136320733,0.3227024484968826,0.3699060973373845,0.41054193754704954,0.3760016899428511,0.36708616441915554,0.3779248343233662","0.37171121340908053,0.13133396560357757,-0.5862878141103767,-0.1839543277735265,-0.3516198786762075,-0.3923172348648294,-0.6312132425866743,-0.6528462440506859","0.12238040566444397,0.10700821131467819,0.092461496591568,0.07885352522134781,0.06644779443740845,0.05505278334021568,0.047631602734327316,0.04445571452379227,0.04700849950313568,0.05032749101519585,0.05123905837535858,0.04969816282391548,0.04722452163696289,0.04477978125214577,0.042996395379304886,0.04171057045459747,0.04074430838227272,0.039944376796483994","0.38572457432746887,0.3338318169116974,0.28200486302375793,0.23062026500701904,0.182251438498497,0.14198185503482819,0.11645940691232681,0.10862734168767929,0.11102461814880371,0.1129176989197731,0.11160668730735779,0.10986433178186417,0.11013669520616531,0.11245565861463547,0.11543319374322891,0.1175917312502861,0.11814775317907333,0.11701478809118271","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,410,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.410,8,8,None,0.34366443639353156,0.2629453991940527,0.1181052448416837,0.3277338912778661,-0.2690873819380416,"0.23469372884877274,0.3245781327129197,0.35591490096854783,0.34843288477957224,0.36742783873035006,0.3779719155221067,0.3581535993395608,0.36081708647522165","0.192931077523665,0.24346823754455102,0.2654648165558323,0.2678174133373029,0.2721153232328819,0.2854226119735024,0.2863001008539489,0.29004361253073724","0.05508114636094126,0.1053509642354057,0.12667541673145122,0.12140547519581467,0.13500321667405613,0.14286276892345057,0.12827400071988265,0.13018896989246756","0.2745811145942833,0.28592703583394513,0.304113849083656,0.32930391147403437,0.3177028600160407,0.335891920132445,0.38106172200304916,0.39328871708547497","0.3843511277266245,-0.08265232912074949,-0.27936243314653075,-0.25027797936967633,-0.4299582128455166,-0.5496068679030806,-0.43488893835598375,-0.5103034224894212","0.12540239095687866,0.11105339229106903,0.09743005037307739,0.08418925851583481,0.07093243300914764,0.05856001749634743,0.048709046095609665,0.04371265321969986,0.04344184324145317,0.04759272187948227,0.05165925994515419,0.0533822663128376,0.05087360367178917,0.04725444316864014,0.043960634618997574,0.04177723079919815,0.04055682197213173,0.03967871144413948","0.4051693379878998,0.3565116226673126,0.30713409185409546,0.25639086961746216,0.2058229148387909,0.15960268676280975,0.12417342513799667,0.10646695643663406,0.10650160163640976,0.11323398351669312,0.11571568995714188,0.11317964643239975,0.1100752130150795,0.10921698063611984,0.11070222407579422,0.11308570951223373,0.11512536555528641,0.11611634492874146","Alface Crespa - Roça,Alface Crespa - Roça_+50"
