model,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,loss,val_loss,columns
V0,../../saved_models/model_V0.172,8,8,None,0.4119464996939295,0.3132999888705559,0.16969991861008063,0.5846804734874967,"0.27652791307671504,0.3505165183551863,0.3958893623631979,0.41951179561077295,0.4374425055406106,0.45284438066460864,0.4574139248171905,0.4689347729391576","0.2185918072096795,0.26787701305860906,0.3027392284478946,0.31927494692067876,0.3347365522565567,0.3475295969388993,0.3510546750945079,0.3645960910376221","0.07646768671056328,0.12286182963984169,0.15672838723233942,0.17599014665657495,0.1913559456536471,0.205068033099513,0.20922749861666642,0.2198998212714993","0.4668816973451651,0.5317739964016522,0.5573724640215705,0.5650730726251152,0.604460326965615,0.6082338314101694,0.6538504816927325,0.6897979174379536","0.10809335857629776,0.10375800728797913,0.09954781085252762,0.0956546738743782,0.0914972722530365,0.0871858075261116,0.0828147605061531,0.07818544656038284,0.07342264801263809,0.06897497922182083,0.06394025683403015,0.05955594778060913,0.05496395751833916,0.05039536580443382,0.04624734818935394,0.042543910443782806,0.03940580412745476,0.03728795051574707,0.035916220396757126,0.03471287339925766,0.03383822366595268,0.034042444080114365,0.03383072465658188,0.03434870392084122,0.03413357585668564,0.0345863439142704,0.03359503671526909,0.03265220299363136,0.03346162289381027,0.03227885439991951,0.03126221522688866,0.03106752224266529,0.03053389862179756,0.03041032701730728,0.030147023499011993","0.7618803977966309,0.7398273348808289,0.7174641489982605,0.6943812370300293,0.670346736907959,0.6451731324195862,0.618694007396698,0.5907861590385437,0.561546266078949,0.5311172008514404,0.4996378719806671,0.4675463140010834,0.4353761672973633,0.4038057327270508,0.3735940456390381,0.3455636501312256,0.3205393850803375,0.2992914021015167,0.2823830842971802,0.2697181701660156,0.2608449161052704,0.25502046942710876,0.2514992952346802,0.24953924119472504,0.24869830906391144,0.24878861010074615,0.24969923496246338,0.25136804580688477,0.2537192106246948,0.25646400451660156,0.2593965232372284,0.26229265332221985,0.2649390697479248,0.26703450083732605,0.2685733139514923","Alface Crespa - Roça"
V0,../../saved_models/model_V0.173,8,8,None,0.41783836785478373,0.3170764071646759,0.17458890165154958,0.584514689553719,"0.29635945171278033,0.36129830920393513,0.4031656344452155,0.42775544726789916,0.4370360461829864,0.45298660259025075,0.46550552473481566,0.46897314160423914","0.22880329407688896,0.27390489652382877,0.3073525665426637,0.3230460777727742,0.3360321947006188,0.34736819947014796,0.35667630766552505,0.3634277205649597","0.08782892461949977,0.13053646823362233,0.16254252879761313,0.18297472266736048,0.19100050566325744,0.20519686212625776,0.21669539355863607,0.21993580754614972","0.4374476891446434,0.514947524358421,0.5600770121891878,0.5609793552368773,0.616970543752877,0.6313944475321005,0.6635700195170442,0.6907309246986006","0.10818858444690704,0.1028905138373375,0.09806818515062332,0.09318709373474121,0.08865702152252197,0.08420415222644806,0.07939720153808594,0.07474391162395477,0.07025681436061859,0.06585749238729477,0.06136444956064224,0.05712372809648514,0.052933696657419205,0.04920962452888489,0.04532493278384209,0.042294275015592575,0.04034066200256348,0.0381377674639225,0.037106774747371674,0.036275677382946014,0.036115724593400955,0.034787047654390335,0.03475344553589821,0.03484338894486427,0.03472546488046646,0.03434503823518753,0.03437549248337746,0.0338129997253418,0.03341967985033989,0.032199617475271225,0.03201104328036308,0.031733639538288116,0.030972324311733246,0.03065948560833931,0.030835533514618874","0.754744291305542,0.727238655090332,0.7002703547477722,0.6734229922294617,0.646328866481781,0.6187682151794434,0.5905623435974121,0.5616376996040344,0.5320739150047302,0.5019426941871643,0.4714087247848511,0.44087672233581543,0.4108686149120331,0.38201555609703064,0.3550432622432709,0.3306044638156891,0.3094150125980377,0.2918580174446106,0.27813461422920227,0.26799559593200684,0.26099324226379395,0.256329208612442,0.25344789028167725,0.2519480288028717,0.2515060603618622,0.2519334554672241,0.2532190978527069,0.2552264928817749,0.2576974928379059,0.26040151715278625,0.26314577460289,0.26580315828323364,0.26803040504455566,0.2697888910770416,0.27104511857032776","Alface Crespa - Roça"
V0,../../saved_models/model_V0.174,8,8,None,0.4091994341059757,0.3100280332515811,0.16744417687265073,0.5722316081126648,"0.2697622176366327,0.3401847755431573,0.3885162425236707,0.41229930565601125,0.44227053875636263,0.45325261675062806,0.4583688896410224,0.46795009159375545","0.2125245853045846,0.25953026962845704,0.2935561307610514,0.3177450684072992,0.3355782438145471,0.3476810929808041,0.3518793028466812,0.36172957226922486","0.07277165406423398,0.11572568151134831,0.1509448707047117,0.169990717444429,0.19560322945184327,0.2054379345912917,0.21010203899074376,0.21897728822260412","0.4452047414697337,0.5139390068533289,0.5236187512921381,0.5874030978946229,0.5788651671270619,0.6131402517384865,0.6424277023664122,0.6732541461595354","0.10989666730165482,0.10541124641895294,0.10101363807916641,0.09672067314386368,0.09209620207548141,0.08738484233617783,0.08313295245170593,0.07835444062948227,0.07338052988052368,0.06860356032848358,0.0637158527970314,0.05884673073887825,0.05415872856974602,0.04958122596144676,0.04567841440439224,0.042512621730566025,0.03903166577219963,0.03697933256626129,0.034983716905117035,0.03421828895807266,0.03361121937632561,0.03373539447784424,0.034225597977638245,0.03345993906259537,0.03346266970038414,0.033224452286958694,0.032029516994953156,0.032001517713069916,0.03257938101887703,0.03139784559607506,0.030310163274407387,0.03083900921046734,0.03030456230044365,0.029786834493279457,0.03036903776228428,0.029669443145394325","0.7721080780029297,0.7481934428215027,0.7241849899291992,0.6997168064117432,0.6745543479919434,0.648353636264801,0.6209235191345215,0.5920330882072449,0.5616815090179443,0.5301182270050049,0.4976147711277008,0.46461740136146545,0.43178820610046387,0.39978209137916565,0.3694373667240143,0.3416830003261566,0.3173379898071289,0.2970254123210907,0.2810550332069397,0.26922520995140076,0.260894238948822,0.2552025318145752,0.25145742297172546,0.2490348070859909,0.24767722189426422,0.24726085364818573,0.2477322369813919,0.2490503042936325,0.2511601150035858,0.253851979970932,0.256835013628006,0.2598492205142975,0.2625673711299896,0.2648595869541168,0.26666733622550964,0.26785358786582947","Alface Crespa - Roça"
V0,../../saved_models/model_V0.175,8,8,None,0.40787039590037866,0.3098204308191812,0.16635825985193164,0.5706466731644334,"0.27665592061378036,0.34151443292048494,0.38721901400574155,0.4134527622721503,0.42901577701072385,0.4533914103251836,0.45531636909250806,0.4689162155752192","0.2189196949797319,0.2605550516087548,0.2968814562676562,0.31617389064834545,0.32967973495310204,0.3465031956990851,0.3470695719628806,0.36278085043389385","0.07653849841065834,0.1166321078930004,0.14993856480757867,0.1709431866304712,0.18405453692411514,0.205563770956659,0.20731299596358502,0.21988241722938542","0.4662275382650851,0.5093163758880273,0.5443530827555666,0.5699594393627034,0.5898925731171631,0.6107586877129686,0.6161092318129539,0.658556456400999","0.1085088923573494,0.10397178679704666,0.09956260025501251,0.09524259716272354,0.09038595110177994,0.08560417592525482,0.08101332932710648,0.07589492946863174,0.07054997980594635,0.06590501219034195,0.06070997938513756,0.05591370537877083,0.051038265228271484,0.04664040729403496,0.0424957200884819,0.03938361257314682,0.03672854229807854,0.03497157245874405,0.03365224599838257,0.03364013507962227,0.033270467072725296,0.033015891909599304,0.03341115638613701,0.033563341945409775,0.03294849023222923,0.03287965804338455,0.031937118619680405,0.03191247209906578,0.03105461411178112,0.03115408681333065,0.03088679350912571,0.030508466064929962,0.02956645004451275,0.02961326576769352,0.028923669829964638","0.7669329047203064,0.742841899394989,0.7183192372322083,0.6929769515991211,0.6665225625038147,0.6388285160064697,0.6097920536994934,0.5793361663818359,0.547482430934906,0.5146345496177673,0.4810663163661957,0.4473499357700348,0.4141825735569,0.38229718804359436,0.3527204096317291,0.32636967301368713,0.3041154146194458,0.2864866256713867,0.27350863814353943,0.2646714448928833,0.2589929401874542,0.2554604113101959,0.25332605838775635,0.25218090415000916,0.2519911527633667,0.2527817189693451,0.25449493527412415,0.25703164935112,0.26011157035827637,0.26349076628685,0.26683124899864197,0.26981112360954285,0.2721189558506012,0.27373751997947693,0.2746220827102661","Alface Crespa - Roça"
V0,../../saved_models/model_V0.176,8,8,None,0.41272133483517737,0.31402200863654073,0.1703389002281306,0.5853391580808207,"0.2743332560021625,0.3497872993565304,0.39081293152145014,0.4174488475418654,0.4414286935138023,0.4543719022421641,0.4641195008573036,0.470513544806356","0.2169690179812144,0.2672977972466484,0.29908801953991565,0.32140908445360655,0.3397154675379247,0.34833079213152873,0.35603494680832753,0.3633309433931601","0.07525873534874802,0.12235115479113502,0.15273474744438967,0.1742635403140316,0.1948592914573024,0.20645382554716274,0.2154069110760326,0.22138299584624277","0.4662778121822902,0.5212980789993488,0.551116892874905,0.5842087434333851,0.6098570844475139,0.623179752303733,0.6462337009078138,0.680541199497575","0.10831685364246368,0.10346027463674545,0.09844006597995758,0.09372392296791077,0.08890377730131149,0.08379960805177689,0.07907406240701675,0.07416882365942001,0.06929784268140793,0.06449305266141891,0.05968031659722328,0.05523214489221573,0.05055517703294754,0.046580079942941666,0.042278435081243515,0.03981311246752739,0.03785496577620506,0.03572392463684082,0.03473573923110962,0.034454815089702606,0.03355405479669571,0.03403739258646965,0.034453269094228745,0.03447343409061432,0.034288834780454636,0.03329179063439369,0.03317881375551224,0.03296533599495888,0.032327402383089066,0.03186318650841713,0.031001437455415726,0.030425164848566055,0.03082605078816414,0.030287154018878937,0.03002973273396492","0.7582952380180359,0.7312355637550354,0.7044606804847717,0.6774816513061523,0.6500204205513,0.6219117045402527,0.5928336977958679,0.562749445438385,0.5317726731300354,0.5000461935997009,0.46790409088134766,0.43590760231018066,0.40466544032096863,0.3748507499694824,0.3472362458705902,0.3226635754108429,0.30198097229003906,0.28560471534729004,0.2734711468219757,0.2651098072528839,0.2596116364002228,0.2560085654258728,0.25359299778938293,0.2520405352115631,0.2512849271297455,0.25134173035621643,0.2522815763950348,0.2541130483150482,0.2566255033016205,0.2595052719116211,0.2624669373035431,0.2652367055416107,0.26763153076171875,0.26946330070495605,0.27060285210609436","Alface Crespa - Roça"
V0,../../saved_models/model_V0.177,8,8,None,0.4132964367773869,0.31274155670960274,0.1708139446528846,0.5681653088371241,"0.2751584460527891,0.3604912337152541,0.3884268499947125,0.42435645901064173,0.43350315373297155,0.45038418374741895,0.4677172148368229,0.4694266127751003","0.21717066537138424,0.26952973760598775,0.2977882641743561,0.3206008757669127,0.3297829201260551,0.3455913944919507,0.3581924617578947,0.3632761343822808","0.07571217043418564,0.12995392958554597,0.15087541779681488,0.18007840430405048,0.18792498429643234,0.20284591296982882,0.21875939305471473,0.22036134478150393","0.4595204174796669,0.4807841840647413,0.5573234192984792,0.5527336417053462,0.5872051139415158,0.6181560511130046,0.6225963698268564,0.6670032732673827","0.11137361824512482,0.10651788115501404,0.10195952653884888,0.09746501594781876,0.09307791292667389,0.088387131690979,0.0839424729347229,0.0792246162891388,0.07476906478404999,0.06973034888505936,0.06500130891799927,0.06090497970581055,0.05573322996497154,0.05128023773431778,0.047617390751838684,0.04461090266704559,0.040999289602041245,0.03861910104751587,0.03701828047633171,0.03604372590780258,0.035258661955595016,0.03448105975985527,0.03454715386033058,0.034172579646110535,0.03430268540978432,0.03337789326906204,0.033248014748096466,0.03280314803123474,0.03235684707760811,0.031656794250011444,0.03151848912239075,0.030881367623806,0.030501961708068848,0.03078455664217472,0.029927274212241173,0.029775865375995636","0.7796074748039246,0.7550614476203918,0.7308213710784912,0.7063510417938232,0.6811534762382507,0.6551169753074646,0.6280961632728577,0.5999123454093933,0.5704827904701233,0.5398932695388794,0.508375883102417,0.476388543844223,0.4445358216762543,0.4134272038936615,0.3837541341781616,0.3564116060733795,0.3321026563644409,0.31144410371780396,0.29473164677619934,0.28179696202278137,0.2721734941005707,0.2651631832122803,0.26024720072746277,0.2569907605648041,0.255113810300827,0.25448474287986755,0.2549685537815094,0.2563653886318207,0.2584741413593292,0.26096630096435547,0.2635738253593445,0.2659972906112671,0.2680325210094452,0.2696150243282318,0.2707306742668152,0.2713644206523895","Alface Crespa - Roça"
V0,../../saved_models/model_V0.178,8,8,None,0.4113281209255,0.31167059555238985,0.1691908230641027,0.5668378141791985,"0.27541293418450496,0.3457337602698707,0.39195454821647013,0.41854321583507637,0.43610323490932956,0.45014112538979406,0.4607545243464561,0.4735270634778051","0.21570584233576523,0.26467899967166597,0.30003899427756997,0.31930701263914174,0.33114141005461284,0.34379909845882495,0.3507094743179735,0.3679839326635653","0.07585228431611846,0.11953183299034441,0.1536283678675772,0.17517842352156732,0.1901860314983819,0.2026270327671903,0.212294731705729,0.22422787984591325","0.43659371122402396,0.5227598417717831,0.5451767290590973,0.5677041648594324,0.5779596281234655,0.6034437480897754,0.6330065873240752,0.6480581029819351","0.10735809803009033,0.10279763489961624,0.09827051311731339,0.09378042072057724,0.08917740732431412,0.08439583331346512,0.07986322790384293,0.07510647177696228,0.06982847303152084,0.06514935940504074,0.06013425812125206,0.055276498198509216,0.05105217546224594,0.0469166561961174,0.04317205771803856,0.04043031856417656,0.03733137622475624,0.035452116280794144,0.03505804389715195,0.03474991396069527,0.0339532308280468,0.03430281579494476,0.033794716000556946,0.034940239042043686,0.03301633149385452,0.03420621156692505,0.03348615765571594,0.03287484124302864,0.031740233302116394,0.031414613127708435,0.03030247986316681,0.030344519764184952,0.029926786199212074,0.03004620596766472,0.029489722102880478,0.029216641560196877","0.7562543749809265,0.731622040271759,0.7068778872489929,0.681708812713623,0.6556999087333679,0.6285123229026794,0.6001424789428711,0.5704500675201416,0.5395322442054749,0.5077678561210632,0.4755229949951172,0.4432763159275055,0.4115862548351288,0.38137730956077576,0.353549987077713,0.3289394676685333,0.30811893939971924,0.29150107502937317,0.2790726125240326,0.27035441994667053,0.26438239216804504,0.26023223996162415,0.25729334354400635,0.2553394138813019,0.2542678415775299,0.2542032301425934,0.2551460266113281,0.25701281428337097,0.2596445679664612,0.26271364092826843,0.26574674248695374,0.2683943212032318,0.2703465223312378,0.2716871201992035,0.272408127784729,0.27250051498413086","Alface Crespa - Roça"
V0,../../saved_models/model_V0.179,8,8,None,0.40805772345984,0.30950598939366014,0.16651110567522726,0.5781535952885748,"0.26744390253096473,0.33897762421433647,0.3861566141483238,0.41451068608877195,0.4377244557280969,0.4560031419432597,0.4598580861381721,0.46228747674937337","0.2123357290228571,0.2578733945336582,0.295093460080803,0.31923226773726787,0.33679892049832977,0.3473248549840958,0.35164590324959993,0.3557433850426703","0.07152624100099217,0.11490582971799593,0.14911693065049744,0.17181910888178442,0.19160269914245864,0.20793886546212467,0.21146945938666248,0.2137097111593024","0.45951361078127373,0.49697552837114856,0.5467448635167835,0.5825130698005199,0.6173466475613891,0.6033594668760426,0.6402805310979673,0.6784950443034742","0.10408017039299011,0.09960705041885376,0.09494312852621078,0.09057409316301346,0.08555402606725693,0.08038165420293808,0.07527577131986618,0.07026202231645584,0.0647994875907898,0.05962469056248665,0.05436437577009201,0.04991888254880905,0.04574435576796532,0.0419272743165493,0.038433391600847244,0.03631792217493057,0.03473438322544098,0.03429466858506203,0.033479876816272736,0.033805299550294876,0.034167904406785965,0.03384317085146904,0.03290271386504173,0.03321865200996399,0.033587660640478134,0.031968019902706146,0.031566131860017776,0.031003756448626518,0.030772248283028603,0.030650021508336067,0.029992125928401947,0.02979842945933342,0.029589025303721428","0.7333903908729553,0.7086606025695801,0.6830797791481018,0.6564589738845825,0.6284024119377136,0.5987719297409058,0.567591667175293,0.5350322127342224,0.5014102458953857,0.4671150743961334,0.4326700270175934,0.3990192413330078,0.36709174513816833,0.3378465175628662,0.3122732937335968,0.29106637835502625,0.27461791038513184,0.2628832161426544,0.2551663815975189,0.2504154443740845,0.24761033058166504,0.24593453109264374,0.2451196163892746,0.24519814550876617,0.2462969571352005,0.24832314252853394,0.2511718273162842,0.2546442449092865,0.25828927755355835,0.26185348629951477,0.26495274901390076,0.26738372445106506,0.26910141110420227","Alface Crespa - Roça"
V0,../../saved_models/model_V0.180,8,8,None,0.41749965916216114,0.317740616113649,0.17430596540052073,0.5860587899525378,"0.29412988390058303,0.3635274442038341,0.3949458162404796,0.4250276860963922,0.4435341247504582,0.4554006099318265,0.46347854071477174,0.46928435638702337","0.23103768140594086,0.27500063933366414,0.30351571373387026,0.3247967991961696,0.34015931600877153,0.3484639778639622,0.35569287349420986,0.3632579278726039","0.08651238860337046,0.1321522026893717,0.15598219776585867,0.1806485339484533,0.19672251981815506,0.20738971552627963,0.21481235770309431,0.2202278071495828","0.4674934581651756,0.5126347608110263,0.5673612839976672,0.5860526093297423,0.6032151804288078,0.6321903534820759,0.6449395923753496,0.6745830810304583","0.11084941774606705,0.10642221570014954,0.10223829001188278,0.09815206378698349,0.09387222677469254,0.09002448618412018,0.08540529012680054,0.08135684579610825,0.07676014304161072,0.07253480702638626,0.06751655787229538,0.06343483924865723,0.05854829400777817,0.054412368685007095,0.05027300491929054,0.04648610204458237,0.043008118867874146,0.040201231837272644,0.03802250698208809,0.03692011907696724,0.035881780087947845,0.035301730036735535,0.035277269780635834,0.03488742187619209,0.03500320762395859,0.035300493240356445,0.03473591059446335,0.034642674028873444,0.03469133377075195,0.033314161002635956,0.03304388001561165,0.03287068009376526,0.031461238861083984,0.031385064125061035,0.0313168540596962,0.03136461228132248,0.030711453408002853","0.7786114811897278,0.7553603053092957,0.732722282409668,0.7100585103034973,0.6868817806243896,0.6627644896507263,0.6375649571418762,0.6111641526222229,0.5834352374076843,0.554334819316864,0.5240573883056641,0.49297261238098145,0.4614808261394501,0.4301450252532959,0.3996795415878296,0.3708275854587555,0.3443939983844757,0.3210945129394531,0.3016040027141571,0.2863193154335022,0.275031179189682,0.26726457476615906,0.26219069957733154,0.25897276401519775,0.25701332092285156,0.25602397322654724,0.25593698024749756,0.25671640038490295,0.25837430357933044,0.2607298493385315,0.2636025846004486,0.266774982213974,0.2698734998703003,0.27264443039894104,0.27488937973976135,0.2764681279659271,0.27731600403785706","Alface Crespa - Roça"
V0,../../saved_models/model_V0.181,8,8,None,0.4099663588484853,0.31165782631880534,0.16807241538748502,0.578308486098263,"0.27272003356030555,0.34354340091273977,0.39245425096472697,0.4118725195049212,0.43621581615841587,0.4538919661972696,0.46240384292775255,0.4673352730758807","0.21539190052909868,0.26324827506529647,0.29755482508157116,0.318691083752627,0.3330151963301303,0.34817256053898915,0.3559270153832652,0.36126175386946524","0.0743762167051342,0.11802206831069144,0.1540203391002849,0.1696389723233317,0.1902842382667529,0.20601791697842337,0.21381731395435363,0.218402257460908","0.45257192983096,0.5191783233369418,0.5272378477684404,0.5852456646272627,0.5888866287446406,0.6268926637830228,0.6559807164325365,0.6704741142622993","0.10749451071023941,0.10263451933860779,0.09820599853992462,0.09383352100849152,0.08937913924455643,0.08512124419212341,0.08067215979099274,0.07615113258361816,0.07189954817295074,0.06754381209611893,0.06242566183209419,0.058010101318359375,0.05330787971615791,0.049120914191007614,0.04495310038328171,0.04199102893471718,0.038838472217321396,0.036244265735149384,0.0348593108355999,0.033924687653779984,0.033569011837244034,0.0335848368704319,0.03358857333660126,0.03376244008541107,0.03357604518532753,0.034350551664829254,0.032442785799503326,0.032713569700717926,0.032221924513578415,0.031906746327877045,0.031137902289628983,0.030419832095503807,0.030496468767523766,0.02987712062895298,0.029721233993768692,0.0290059931576252","0.7566891312599182,0.7319090962409973,0.707574188709259,0.6833049654960632,0.6584761738777161,0.6328651309013367,0.606311559677124,0.5788158774375916,0.5503053069114685,0.5208061933517456,0.49051395058631897,0.4597640931606293,0.42897728085517883,0.39881157875061035,0.36985936760902405,0.34296903014183044,0.31900694966316223,0.298748642206192,0.28266337513923645,0.2707250118255615,0.26260897517204285,0.2575245201587677,0.2544843852519989,0.2526790201663971,0.251677006483078,0.25137248635292053,0.2517528831958771,0.25294235348701477,0.2548958361148834,0.2575230002403259,0.26053038239479065,0.26361480355262756,0.26662710309028625,0.269246906042099,0.2713037431240082,0.2726931869983673","Alface Crespa - Roça"
