dt,Alface Americana - Roça,Alface Crespa - Roça,Alface Lisa - Roça,Alface Americana - Atacado,Alface Crespa - Atacado,PREC_HOR_max,PREC_HOR_min,PREC_HOR_sum,PREC_HOR_mean,PREC_HOR_max_ra4,PREC_HOR_min_ra4,PREC_HOR_sum_ra4,PREC_HOR_mean_ra4,PRES_MIN_ANT_max,PRES_MIN_ANT_min,PRES_MIN_ANT_sum,PRES_MIN_ANT_mean,PRES_MIN_ANT_max_ra4,PRES_MIN_ANT_min_ra4,PRES_MIN_ANT_sum_ra4,PRES_MIN_ANT_mean_ra4,RAD_GLOB_max,RAD_GLOB_min,RAD_GLOB_sum,RAD_GLOB_mean,RAD_GLOB_max_ra4,RAD_GLOB_min_ra4,RAD_GLOB_sum_ra4,RAD_GLOB_mean_ra4,TEMP_AR_HOR_max,TEMP_AR_HOR_min,TEMP_AR_HOR_sum,TEMP_AR_HOR_mean,TEMP_AR_HOR_max_ra4,TEMP_AR_HOR_min_ra4,TEMP_AR_HOR_sum_ra4,TEMP_AR_HOR_mean_ra4,TEMP_ORV_max,TEMP_ORV_min,TEMP_ORV_sum,TEMP_ORV_mean,TEMP_ORV_max_ra4,TEMP_ORV_min_ra4,TEMP_ORV_sum_ra4,TEMP_ORV_mean_ra4,UMID_AR_HOR_max,UMID_AR_HOR_min,UMID_AR_HOR_sum,UMID_AR_HOR_mean,UMID_AR_HOR_max_ra4,UMID_AR_HOR_min_ra4,UMID_AR_HOR_sum_ra4,UMID_AR_HOR_mean_ra4,VENT_DIR_HOR_max,VENT_DIR_HOR_min,VENT_DIR_HOR_sum,VENT_DIR_HOR_mean,VENT_DIR_HOR_max_ra4,VENT_DIR_HOR_min_ra4,VENT_DIR_HOR_sum_ra4,VENT_DIR_HOR_mean_ra4,VENT_VEL_HOR_max,VENT_VEL_HOR_min,VENT_VEL_HOR_sum,VENT_VEL_HOR_mean,VENT_VEL_HOR_max_ra4,VENT_VEL_HOR_min_ra4,VENT_VEL_HOR_sum_ra4,VENT_VEL_HOR_mean_ra4,VENT_VEL_HOR_mean_ra4_shift8,VENT_VEL_HOR_mean_ra4_shift8_diff
2016-06-26 00:00:00+00:00,0.9441666666666668,0.7777777777777778,0.7777777777777778,,,5.8,0.0,16.0,0.09523809523809523,8.3,0.0,36.6,0.21785714285714286,916.7,908.9,153369.4,912.9130952380953,914.45,905.575,152856.25,909.858630952381,2488.2,0.2,75042.66428571429,446.6825255102041,2521.1000000000004,3.474999999999999,76429.38571428572,454.93681972789113,21.2,8.3,2308.5,13.741071428571429,23.049999999999997,8.575,2402.95,14.303273809523809,15.1,7.8,1995.1,11.875595238095238,17.0,6.525,2024.4499999999998,12.050297619047619,98.0,60.0,14992.0,89.23809523809524,97.75,53.25,14677.0,87.36309523809524,357.0,2.0,33054.0,196.75,356.0,2.25,31624.75,188.24255952380952,2.6,0.0,46.5,0.2767857142857143,2.9000000000000004,0.0,52.625,0.3132440476190476,0.24166666666666664,0.09925595238095236
2016-07-03 00:00:00+00:00,0.8470833333333334,0.5880555555555556,0.5880555555555556,,,0.0,0.0,0.0,0.0,3.000000000000001,0.0,15.9,0.09464285714285714,917.0,912.5,153640.8,914.5285714285714,916.6500000000001,908.2,153263.97499999998,912.2855654761904,2552.8,0.1,88481.57142857143,526.6760204081633,2520.05,3.4499999999999993,79974.35357142857,476.037818877551,22.0,9.6,2642.8,15.730952380952383,22.475,7.625,2316.6,13.789285714285715,16.0,8.2,2084.2,12.40595238095238,16.425,5.75,1918.3999999999999,11.419047619047618,96.0,46.0,13782.0,82.03571428571429,97.5,53.75,14578.25,86.77529761904762,354.0,2.0,37074.0,220.67857142857142,354.5,1.5,31354.25,186.63244047619048,1.6,0.0,11.1,0.06607142857142857,2.35,0.0,30.65,0.18244047619047618,0.26488095238095233,0.023214285714285687
2016-07-10 00:00:00+00:00,0.75,0.3983333333333333,0.3983333333333333,,,0.0,0.0,0.0,0.0,1.5000000000000009,0.0,4.1,0.024404761904761905,915.4,907.2,153055.0,911.0416666666666,916.825,909.475,153378.125,912.9650297619048,2558.2,0.0,102804.21098901099,611.9298273155416,2558.7749999999996,3.4499999999999993,94105.4831043956,560.1516851452119,22.6,6.9,2536.7,15.099404761904761,22.025,7.575,2396.425,14.264434523809523,15.2,5.7,1903.0,11.327380952380953,15.399999999999999,5.875,1896.3999999999999,11.288095238095238,97.0,49.0,13326.0,79.32142857142857,97.25,49.75,14046.5,83.61011904761905,305.0,2.0,34160.0,203.33333333333334,341.0,1.75,33965.75,202.17708333333331,3.3,0.0,94.9,0.5648809523809524,2.55,0.0,49.6,0.2952380952380952,0.2995535714285714,0.03467261904761909
2016-07-17 00:00:00+00:00,0.75,0.3888888888888889,0.4261111111111111,,,2.2,0.0,9.4,0.055952380952380955,2.000000000000001,0.0,6.35,0.037797619047619045,910.7,901.3,152331.9,906.7375,914.95,907.4749999999999,153099.275,911.3052083333333,2561.3,0.1,98805.5076923077,588.128021978022,2540.125,0.09999999999999912,91283.48859890111,543.3540988029828,26.7,11.0,2909.8,17.320238095238096,23.125,8.95,2599.45,15.472916666666666,16.6,7.2,2024.1,12.048214285714286,15.725000000000001,7.225,2001.6,11.914285714285715,98.0,31.0,12503.0,74.42261904761905,97.25,46.5,13650.75,81.25446428571428,342.0,4.0,36353.0,216.38690476190476,339.5,2.5,35160.25,209.28720238095238,3.2,0.0,52.4,0.3119047619047619,2.675,0.0,51.225,0.30491071428571426,0.3927083333333333,0.0931547619047619
2016-07-24 00:00:00+00:00,0.7775,0.3705555555555555,0.3705555555555555,,,1.0,0.0,10.4,0.06190476190476191,0.8000000000000009,0.0,4.95,0.029464285714285714,913.3,907.6,152990.9,910.660119047619,914.1,907.1500000000001,153004.65,910.7419642857143,2690.0,0.0,52603.653846153844,313.1169871794872,2590.575,0.049999999999999115,85673.735989011,509.96271422030355,20.6,8.3,2156.4,12.835714285714285,22.975,8.95,2561.425,15.246577380952381,13.2,7.5,1854.4,11.038095238095238,15.25,7.15,1966.425,11.704910714285715,98.0,61.0,15019.0,89.39880952380952,97.25,46.75,13657.5,81.29464285714286,360.0,1.0,26128.0,155.52380952380952,340.25,2.25,33428.75,198.98065476190476,3.3,0.0,38.7,0.23035714285714287,2.85,0.0,49.275,0.29330357142857144,0.3489583333333333,-0.04375000000000001
2016-07-31 00:00:00+00:00,0.6941666666666667,0.3427777777777778,0.3427777777777778,,,0.2,0.0,0.6000000000000001,0.0035714285714285718,0.850000000000001,0.0,5.1000000000000005,0.030357142857142857,915.0,906.9,153121.7,911.4386904761906,913.5999999999999,905.75,152874.875,909.969494047619,2689.8,1.6,86754.0,516.3928571428571,2624.825,0.42499999999999916,85241.84313186814,507.391923403977,26.1,10.4,2580.4,15.359523809523811,24.000000000000004,9.15,2545.8250000000003,15.15372023809524,15.4,7.5,1918.8,11.42142857142857,15.1,6.975,1925.075,11.458779761904763,97.0,36.0,13368.0,79.57142857142857,97.5,44.25,13554.0,80.67857142857143,347.0,1.0,30293.0,180.3154761904762,338.5,2.0,31733.5,188.88988095238096,3.0,0.0,41.9,0.2494047619047619,3.2,0.0,56.975,0.3391369047619048,0.44508928571428574,0.09613095238095243
2016-08-07 00:00:00+00:00,0.5833333333333334,0.3472222222222222,0.3472222222222222,,,18.0,0.0,66.4,0.3952380952380953,5.350000000000001,0.0,21.700000000000003,0.12916666666666668,914.9,908.3,153116.0,911.4047619047619,913.475,906.025,152890.125,910.0602678571428,2761.8,0.1,92887.38461538461,552.9010989010989,2675.7250000000004,0.4499999999999992,82762.63653846153,492.6347413003663,26.3,10.8,2620.7,15.599404761904761,24.925,10.125,2566.825,15.278720238095238,15.7,9.0,2046.9,12.183928571428572,15.225000000000001,7.800000000000001,1961.05,11.672916666666666,97.0,37.0,13763.0,81.92261904761905,97.5,41.25,13663.25,81.32886904761905,357.0,15.0,32880.0,195.71428571428572,351.5,5.25,31413.5,186.98511904761907,2.5,0.0,38.4,0.22857142857142856,3.0,0.0,42.85,0.2550595238095238,0.40595238095238095,-0.03913690476190479
2016-08-14 00:00:00+00:00,0.5558333333333333,0.2961111111111111,0.3055555555555556,,,1.2,0.0,10.8,0.0642857142857143,5.100000000000001,0.0,22.05,0.13125,911.6,905.3,152657.9,908.6779761904761,913.6999999999999,907.0250000000001,152971.625,910.5453869047619,2981.1,0.4,101342.4,603.2285714285714,2780.675,0.5249999999999991,83396.85961538462,496.40987866300367,24.7,6.9,2462.4,14.657142857142858,24.425,9.100000000000001,2454.9750000000004,14.61294642857143,17.0,6.5,1985.4,11.817857142857143,15.325,7.625,1951.3750000000002,11.61532738095238,99.0,38.0,14224.0,84.66666666666667,97.75,43.0,14093.5,83.88988095238095,357.0,11.0,28420.0,169.16666666666666,355.25,7.0,29430.25,175.18005952380952,2.9,0.0,63.2,0.3761904761904762,2.9250000000000003,0.0,45.55,0.2711309523809524,0.33065476190476195,-0.075297619047619
2016-08-21 00:00:00+00:00,0.61,0.2961111111111111,0.25,,,3.4,0.0,16.0,0.09523809523809523,5.700000000000001,0.0,23.450000000000003,0.13958333333333334,912.2,902.2,152286.8,906.4690476190475,913.4250000000001,905.675,152795.6,909.4976190476191,2852.2,1.0,103549.9923076923,616.3690018315018,2821.225,0.7749999999999991,96133.44423076924,572.2228823260073,26.2,11.0,3123.8,18.594047619047622,25.825000000000003,9.775,2696.825,16.052529761904765,17.3,7.0,2380.1,14.167261904761904,16.35,7.5,2082.8,12.397619047619047,97.0,31.0,12996.0,77.35714285714286,97.5,35.5,13587.75,80.87946428571429,356.0,6.0,36983.0,220.13690476190476,354.25,8.25,32144.0,191.33333333333331,3.8,0.0,113.1,0.6732142857142857,3.05,0.0,64.15,0.38184523809523807,0.3132440476190476,-0.017410714285714335
2016-08-28 00:00:00+00:00,0.5833333333333334,0.2961111111111111,0.315,,,1.4,0.0,10.8,0.0642857142857143,6.000000000000002,0.0,26.0,0.15476190476190477,914.5,907.1,153052.8,911.0285714285714,913.3000000000001,905.725,152778.375,909.3950892857142,3202.8,5.2,124231.19230769231,739.4713827838829,2949.475,1.6749999999999992,105502.74230769232,627.9925137362637,25.5,8.2,2328.3,13.858928571428573,25.674999999999997,9.225000000000001,2633.8,15.677380952380954,12.8,6.7,1677.5,9.985119047619047,15.700000000000001,7.3,2022.475,12.038541666666667,98.0,31.0,13405.0,79.79166666666667,97.75,34.25,13597.0,80.93452380952382,360.0,6.0,31686.0,188.60714285714286,357.5,9.5,32492.25,193.40625,3.0,0.0,44.7,0.26607142857142857,3.05,0.0,64.85,0.3860119047619047,0.18244047619047618,-0.13080357142857144
