column,correlated_to,max_correlation
"Alface Crespa - Roça_-5","Alface Crespa - Roça",0.9697295583555604
"Alface Crespa - Roça_-6","Alface Crespa - Roça",0.9709063226152584
"Alface Crespa - Roça_-7","Alface Crespa - Roça",0.971281255546671
"Alface Crespa - Roça_-8","Alface Crespa - Roça",0.9713611380928885
"Alface Crespa - Roça_-9","Alface Crespa - Roça",0.971374695252084
"Alface Crespa - Roça_-10","Alface Crespa - Roça",0.971986807889652
"Alface Crespa - Roça_-11","Alface Crespa - Roça",0.9724781594230093
"Alface Crespa - Roça_-12","Alface Crespa - Roça",0.972569018359768
"Alface Crespa - Roça_+49","Alface Crespa - Roça",0.41138446074519913
"Alface Crespa - Roça_+50","Alface Crespa - Roça",0.41192177676003583
"Alface Crespa - Roça_+51","Alface Crespa - Roça",0.40137182064973675
"Alface Crespa - Roça_+52","Alface Crespa - Roça",0.40221039702640926
"Alface Crespa - Roça_+53","Alface Crespa - Roça",0.40729366671137784
