dt,1,2,3,4,5,6,7,8
2022-06-26 00:00:00+00:00,0.5279166666666667,0.46125000000000005,0.38875,0.36375,0.3779166666666667,0.35000000000000003,0.33625,0.33625
2022-08-21 00:00:00+00:00,0.2870833333333333,0.2870833333333333,0.2870833333333333,0.3054166666666666,0.3195833333333333,0.3333333333333333,0.3333333333333333,0.3195833333333333
2022-10-16 00:00:00+00:00,0.375,0.4258333333333333,0.38875,0.4445833333333333,0.4583333333333333,0.38875,0.375,0.3404166666666666
2022-12-11 00:00:00+00:00,0.3470833333333333,0.5070833333333333,0.5208333333333334,0.5345833333333333,0.5208333333333334,0.7291666666666667,1.0,1.125
2023-02-05 00:00:00+00:00,1.1666666666666667,1.125,0.96125,0.8612500000000001,0.6945833333333333,0.7083333333333335,0.575,0.6154166666666666
2023-04-02 00:00:00+00:00,0.7962499999999999,0.7916666666666666,0.8779166666666666,0.9443750000000001,1.0333333333333334,1.0,1.1666666666666667,1.25
2023-05-28 00:00:00+00:00,1.305416666666667,1.23625,1.2291666666666667,1.2291666666666667,1.1529166666666668,1.0833333333333333,0.7666666666666666,0.8166666666666668
2023-07-23 00:00:00+00:00,0.8166666666666668,0.7750000000000001,0.75,0.7916666666666666,0.4375,0.4083333333333334,0.375,0.35416666666666674
2023-09-17 00:00:00+00:00,0.3333333333333333,0.4083333333333334,0.3666666666666667,0.35416666666666674,0.503125,0.6520833333333333,0.8010416666666667,0.95
2023-11-12 00:00:00+00:00,0.95,1.5104166666666667,1.225,0.75,0.6770833333333334,0.5625,0.5625,0.6249999999999999
