dt,Alface Americana - Roça,Alface Crespa - Roça,Alface Lisa - Roça,Alface Americana - Atacado,Alface Crespa - Atacado,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_mean","PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max","PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_sum","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)_mean","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)_max","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)_sum",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)_mean,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)_max,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)_sum,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)_mean,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)_max,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)_sum,RADIACAO GLOBAL (Kj/m²)_mean,RADIACAO GLOBAL (Kj/m²)_max,RADIACAO GLOBAL (Kj/m²)_sum,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)_mean","TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)_max","TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)_sum",TEMPERATURA DO PONTO DE ORVALHO (°C)_mean,TEMPERATURA DO PONTO DE ORVALHO (°C)_max,TEMPERATURA DO PONTO DE ORVALHO (°C)_sum,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)_mean,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)_max,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)_sum,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)_mean,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)_max,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)_sum,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_mean,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_sum,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)_mean,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)_max,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)_sum,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)_mean,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)_max,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)_sum,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)_mean,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)_max,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)_sum,"UMIDADE RELATIVA DO AR, HORARIA (%)_mean","UMIDADE RELATIVA DO AR, HORARIA (%)_max","UMIDADE RELATIVA DO AR, HORARIA (%)_sum","VENTO, DIREÇÃO HORARIA (gr) (° (gr))_mean","VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max","VENTO, DIREÇÃO HORARIA (gr) (° (gr))_sum","VENTO, RAJADA MAXIMA (m/s)_mean","VENTO, RAJADA MAXIMA (m/s)_max","VENTO, RAJADA MAXIMA (m/s)_sum","VENTO, VELOCIDADE HORARIA (m/s)_mean","VENTO, VELOCIDADE HORARIA (m/s)_max","VENTO, VELOCIDADE HORARIA (m/s)_sum",Alface Crespa - Roça_-1,Alface Crespa - Roça_-2,Alface Crespa - Roça_-3,Alface Crespa - Roça_-4,Alface Crespa - Roça_-5,Alface Crespa - Roça_-6,Alface Crespa - Roça_-7,Alface Crespa - Roça_-8,Alface Crespa - Roça_-9,Alface Crespa - Roça_-10,Alface Crespa - Roça_-11,Alface Crespa - Roça_-12,Alface Crespa - Roça_+49,Alface Crespa - Roça_+50,Alface Crespa - Roça_+51,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53
2020-12-20 00:00:00+00:00,1.125,0.54,0.6922222222222223,,,0.2976190476190476,19.4,50.0,904.5369047619048,907.4,151962.2,904.7666666666667,907.5,152000.8,904.327380952381,907.3,151927.0,780.8762499999999,3766.5,131187.21,21.563690476190477,30.1,3622.7,20.471354166666668,23.2,3439.1875,22.255357142857143,30.3,3738.9,20.95654761904762,28.8,3520.7,21.72016369047619,24.5,3648.9875,19.42514880952381,23.2,3263.425,91.4077380952381,100.0,15356.5,76.6577380952381,97.0,12878.5,83.7514880952381,100.0,14070.25,181.03571428571428,342.0,30414.0,2.992857142857143,6.8,502.8,0.6452380952380953,2.4,108.4,0.5419444444444446,0.5886111111111112,0.6450000000000001,0.6792708333333335,0.6765625000000001,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5,0.5353703703703704,0.5707407407407408,0.6061111111111112,0.58
2020-12-27 00:00:00+00:00,1.1944444444444444,0.61,0.718425925925926,,,1.5214285714285714,69.2,255.6,905.3779761904761,908.2,152103.5,905.5910714285714,908.2,152139.3,905.152380952381,908.0,152065.6,438.35040584415583,3509.5,73642.86818181818,18.720238095238095,27.9,3145.0,18.48611763784461,20.6,3105.6677631578946,19.195833333333333,29.1,3224.9,18.34047619047619,27.4,3081.2,21.361284722222223,22.9,3588.695833333333,17.689136904761906,20.1,2971.775,90.93452380952381,100.0,15277.0,67.65178571428571,73.16666666666667,11365.5,72.54393796992481,81.89473684210526,12187.381578947368,191.67857142857142,356.0,32202.0,1.651190476190476,8.4,277.4,0.2619047619047619,2.1,44.0,0.5886111111111112,0.6450000000000001,0.6792708333333335,0.6765625000000001,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5166666666666667,0.5,0.5353703703703704,0.5707407407407408,0.6061111111111112
2021-01-03 00:00:00+00:00,1.2638888888888888,0.68,0.7446296296296296,,,0.8666666666666666,29.2,145.6,905.5875000000001,908.8,152138.7,905.8172619047618,908.8,152177.3,905.3690476190476,908.6,152102.0,609.1769480519481,3451.8,102341.72727272728,20.448214285714286,28.1,3435.3,19.925861528822054,23.8,3347.544736842105,21.011904761904763,29.8,3530.0,19.933928571428574,27.9,3348.9,21.368353174603175,24.2,3589.883333333333,18.750595238095237,22.6,3150.1,90.39930555555556,100.0,15187.083333333334,74.33878968253968,93.0,12488.916666666666,82.41613147451963,100.0,13845.910087719298,179.19642857142858,344.0,30105.0,2.5910714285714285,7.1,435.3,0.4755952380952381,2.3,79.9,0.6450000000000001,0.6792708333333335,0.6765625000000001,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4905555555555556,0.5166666666666667,0.5,0.5353703703703704,0.5707407407407408
2021-01-10 00:00:00+00:00,1.3333333333333333,0.75,0.7708333333333334,,,1.1166666666666667,32.4,187.6,904.8607142857143,907.7,152016.6,905.0928571428572,907.8,152055.6,904.6446428571428,906.8,151980.3,706.796130952381,3790.3,118741.75,20.77261904761905,27.6,3489.8,21.440053258145365,23.8,3601.928947368421,21.3875,28.2,3593.1,20.195238095238096,26.9,3392.8,22.9609126984127,26.4,3857.4333333333334,20.01529761904762,22.3,3362.5699999999997,94.58938492063491,100.0,15891.016666666666,75.51656746031746,84.0,12686.783333333333,85.81334847535506,100.0,14416.642543859649,188.33333333333334,356.0,31640.0,2.4375,7.8,409.5,0.4107142857142857,2.0,69.0,0.6792708333333335,0.6765625000000001,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.4516666666666667,0.4905555555555556,0.5166666666666667,0.5,0.5353703703703704
2021-01-17 00:00:00+00:00,1.1808333333333334,0.6770833333333334,0.7083333333333334,,,0.24761904761904763,14.8,41.6,905.4482142857142,907.7,152115.3,905.6654761904762,907.8,152151.8,905.2375,907.4,152079.9,906.0430735930736,3919.8,152215.23636363636,21.869642857142857,26.8,3674.1,19.46500626566416,24.0,3270.121052631579,22.492261904761904,27.5,3778.7,21.3,26.1,3578.4,20.569345238095238,25.0,3455.65,18.51952380952381,22.7,3111.28,84.93690476190476,100.0,14269.4,72.33214285714286,100.0,12151.8,78.65366541353384,100.0,13213.815789473685,224.16071428571428,359.0,37659.0,3.574404761904762,8.6,600.5,0.805952380952381,2.3,135.4,0.6765625000000001,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.4238888888888888,0.4516666666666667,0.4905555555555556,0.5166666666666667,0.5
2021-01-24 00:00:00+00:00,1.2641666666666669,0.5991666666666667,0.6458333333333334,,,0.0,0.0,0.0,907.6845238095239,911.5,152491.0,907.8541666666666,911.6,152519.5,907.5,911.4,152460.0,919.3654220779221,3935.0,154453.3909090909,21.71309523809524,28.4,3647.8,16.513095238095236,20.5,2774.2,22.449404761904763,29.0,3771.5,21.129166666666666,27.2,3549.7,17.26577380952381,20.9,2900.65,15.844940476190475,19.9,2661.95,77.76190476190476,100.0,13064.0,69.67857142857143,100.0,11706.0,73.86607142857143,100.0,12409.5,203.60119047619048,348.0,34205.0,3.425,7.0,575.4,0.8363095238095238,2.3,140.5,0.6597916666666668,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.389375,0.4233333333333333,0.4238888888888888,0.4516666666666667,0.4905555555555556,0.5166666666666667
2021-01-31 00:00:00+00:00,1.0691666666666666,0.6129166666666667,0.6875,,,0.0,0.0,0.0,905.9339285714285,907.9,152196.9,906.132142857143,908.1,152230.2,905.7476190476191,907.8,152165.6,959.0869588744589,4087.9,161126.6090909091,23.25952380952381,30.1,3907.6,16.146428571428572,19.8,2712.6,24.000595238095237,30.4,4032.1,22.527380952380952,28.5,3784.6,16.770833333333332,20.5,2817.5,15.551190476190476,19.1,2612.6,69.60714285714286,93.0,11694.0,62.101190476190474,90.0,10433.0,65.77380952380952,91.0,11050.0,228.88095238095238,352.0,38452.0,4.058333333333333,7.6,681.8,1.0452380952380953,2.7,175.6,0.6229166666666668,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.389375,0.37760416666666674,0.5161111111111111,0.4233333333333333,0.4238888888888888,0.4516666666666667,0.4905555555555556
2021-02-07 00:00:00+00:00,1.125,0.6025,0.6320833333333333,,,0.55,24.4,92.4,904.2166666666666,908.0,151908.4,904.460119047619,908.1,151949.3,903.9607142857143,907.7,151865.4,656.2222808441559,4013.4,110245.34318181819,20.725,29.8,3481.8,17.15892857142857,20.2,2882.7,21.41547619047619,30.4,3597.8,20.163095238095238,28.6,3387.4,17.780952380952378,21.2,2987.2,16.6375,19.8,2795.1,84.75595238095238,98.0,14239.0,78.66666666666667,98.0,13216.0,81.86309523809524,98.0,13753.0,197.78571428571428,345.0,33228.0,3.2994047619047615,10.6,554.3,0.6952380952380952,2.6,116.8,0.5804166666666668,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.389375,0.37760416666666674,0.3745833333333334,0.4755555555555555,0.5161111111111111,0.4233333333333333,0.4238888888888888,0.4516666666666667
2021-02-14 00:00:00+00:00,1.0,0.5070833333333333,0.44,,,0.3845238095238096,12.6,64.60000000000001,905.6869047619048,908.5,152155.4,905.9267857142858,908.6,152195.7,905.4636904761904,907.9,152117.9,553.3003652597403,3534.1,92954.46136363636,18.96547619047619,26.9,3186.2,17.285714285714285,20.5,2904.0,19.479166666666668,27.6,3272.5,18.503571428571426,25.3,3108.6,17.742261904761904,21.3,2980.7,16.819642857142856,19.8,2825.7,92.5952380952381,98.0,15556.0,87.70238095238095,98.0,14734.0,90.51785714285714,98.0,15207.0,191.29166666666666,357.0,32137.0,2.456547619047619,7.2,412.7,0.45357142857142857,1.8,76.2,0.5730208333333334,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.389375,0.37760416666666674,0.3745833333333334,0.3582291666666667,0.4816666666666667,0.4755555555555555,0.5161111111111111,0.4233333333333333,0.4238888888888888
2021-02-21 00:00:00+00:00,1.0833333333333333,0.5695833333333333,0.4954166666666666,,,0.8595238095238096,56.4,144.4,903.0559523809524,907.7,151713.4,903.2845238095238,907.8,151751.8,902.8107142857143,907.6,151672.2,553.629788961039,3346.9,93009.80454545455,19.949404761904763,26.2,3351.5,18.007142857142856,21.5,3025.2,20.567857142857143,27.3,3455.4,19.383333333333333,24.8,3256.4,18.59047619047619,21.9,3123.2,17.51845238095238,20.5,2943.1,92.03571428571429,98.0,15462.0,86.32142857142857,97.0,14502.0,89.26190476190476,97.0,14996.0,191.13095238095238,345.0,32110.0,2.4720238095238094,7.8,415.3,0.45714285714285713,2.5,76.8,0.57421875,0.5900520833333334,0.6089062500000001,0.5860937500000001,0.5371875,0.4640625,0.41177083333333336,0.389375,0.37760416666666674,0.3745833333333334,0.3582291666666667,0.33281250000000007,0.548888888888889,0.4816666666666667,0.4755555555555555,0.5161111111111111,0.4233333333333333
