dt,Alface Americana - Roça,Alface Crespa - Roça,Alface Lisa - Roça,Alface Americana - Atacado,Alface Crespa - Atacado
2016-04-22 00:00:00+00:00,0.5925,0.6165,0.618,,
2016-04-29 00:00:00+00:00,1.0,0.4261111111111111,0.5,,
2016-05-06 00:00:00+00:00,1.0416666666666667,0.43777777777777777,0.4794444444444445,,
2016-05-13 00:00:00+00:00,1.0558333333333334,0.4305555555555556,0.4305555555555556,,
2016-05-20 00:00:00+00:00,0.7641666666666667,0.4444444444444444,0.3983333333333333,,
2016-05-27 00:00:00+00:00,0.6108333333333333,0.4538888888888889,0.4261111111111111,,
2016-06-03 00:00:00+00:00,0.68,0.35444444444444445,0.34055555555555556,,
2016-06-10 00:00:00+00:00,0.6166666666666667,0.315,0.315,,
2016-06-17 00:00:00+00:00,0.9441666666666667,0.7777777777777778,0.7777777777777778,,
2016-06-24 00:00:00+00:00,0.9441666666666667,0.7777777777777778,0.7777777777777778,,
2016-07-08 00:00:00+00:00,0.75,0.3983333333333333,0.3983333333333333,,
2016-07-14 00:00:00+00:00,0.75,0.3888888888888889,0.4261111111111111,,
2016-07-22 00:00:00+00:00,0.7775,0.3705555555555555,0.3705555555555555,,
2016-07-29 00:00:00+00:00,0.6941666666666667,0.3427777777777778,0.3427777777777778,,
2016-08-05 00:00:00+00:00,0.5833333333333334,0.3472222222222222,0.3472222222222222,,
2016-08-12 00:00:00+00:00,0.5558333333333333,0.2961111111111111,0.3055555555555556,,
2016-08-19 00:00:00+00:00,0.61,0.2961111111111111,0.25,,
2016-08-26 00:00:00+00:00,0.5833333333333334,0.2961111111111111,0.315,,
2016-09-01 00:00:00+00:00,0.43083333333333335,0.25,0.24333333333333332,,
2016-09-09 00:00:00+00:00,0.4166666666666667,0.25,0.23166666666666666,,
2016-09-16 00:00:00+00:00,0.4483333333333333,0.25722222222222224,0.2711111111111111,,
2016-09-23 00:00:00+00:00,0.4725,0.2638888888888889,0.2711111111111111,,
2016-09-30 00:00:00+00:00,0.4166666666666667,0.2361111111111111,0.2222222222222222,,
2016-10-07 00:00:00+00:00,0.4583333333333333,0.25,0.25,,
2016-10-14 00:00:00+00:00,0.4725,0.23166666666666666,0.315,,
2016-10-21 00:00:00+00:00,0.4725,0.24055555555555555,0.3516666666666667,,
2016-10-27 00:00:00+00:00,0.5275,0.315,0.3794444444444445,,
2016-11-03 00:00:00+00:00,0.625,0.3415,0.32999999999999996,,
2016-11-09 00:00:00+00:00,0.5625,0.2638888888888889,0.3238888888888889,,
2016-11-18 00:00:00+00:00,0.4791666666666667,0.23944444444444443,0.3055555555555556,,
2016-11-23 00:00:00+00:00,0.5625,0.2777777777777778,0.2777777777777778,,
2016-11-30 00:00:00+00:00,0.6108333333333333,0.3472222222222222,0.3844444444444444,,
2016-12-07 00:00:00+00:00,0.6358333333333334,0.4166666666666667,0.3888888888888889,,
2016-12-15 00:00:00+00:00,0.7225,0.35444444444444445,0.435,,
2017-01-04 00:00:00+00:00,0.6391666666666667,0.36833333333333335,0.3611111111111111,,
2017-01-12 00:00:00+00:00,0.6525,0.4027777777777778,0.3427777777777778,,
2017-01-19 00:00:00+00:00,0.6108333333333333,0.2777777777777778,0.2961111111111111,,
2017-01-26 00:00:00+00:00,0.6941666666666667,0.3238888888888889,0.315,,
2017-02-01 00:00:00+00:00,0.7775,0.4538888888888889,0.4027777777777778,,
2017-02-09 00:00:00+00:00,0.8333333333333334,0.4583333333333333,0.4677777777777778,,
2017-02-15 00:00:00+00:00,0.75,0.3516666666666667,0.3472222222222222,,
2017-02-22 00:00:00+00:00,0.75,0.3516666666666667,0.4027777777777778,,
2017-03-02 00:00:00+00:00,0.7816666666666667,0.3472222222222222,0.3427777777777778,,
2017-03-09 00:00:00+00:00,0.6666666666666666,0.25833333333333336,0.3333333333333333,,
2017-03-16 00:00:00+00:00,0.7083333333333334,0.32999999999999996,0.32999999999999996,,
2017-03-23 00:00:00+00:00,0.6391666666666667,0.3888888888888889,0.3888888888888889,,
2017-03-30 00:00:00+00:00,0.7400000000000001,0.4516666666666667,0.5,,
2017-03-30 00:00:00+00:00,0.7400000000000001,0.4516666666666667,0.5972222222222222,,
2017-04-06 00:00:00+00:00,0.7916666666666666,0.3983333333333333,0.5094444444444445,,
2017-04-13 00:00:00+00:00,0.9433333333333334,0.4227777777777778,0.5222222222222223,,
2017-04-20 00:00:00+00:00,0.7875,0.5211111111111112,0.5733333333333334,,
2017-04-27 00:00:00+00:00,0.8491666666666666,0.5138888888888888,0.55,,
2017-05-04 00:00:00+00:00,0.7816666666666667,0.5416666666666666,0.5138888888888888,,
2017-05-11 00:00:00+00:00,0.725,0.4677777777777778,0.4444444444444444,,
2017-05-18 00:00:00+00:00,0.6983333333333334,0.375,0.43777777777777777,,
2017-05-25 00:00:00+00:00,0.6666666666666666,0.3222222222222222,0.3222222222222222,,
2017-06-01 00:00:00+00:00,0.7083333333333334,0.55,0.5694444444444444,,
2017-06-08 00:00:00+00:00,0.775,0.58,0.5616666666666666,,
2017-06-16 00:00:00+00:00,0.8125,0.6016666666666667,0.5905555555555556,,
2017-06-23 00:00:00+00:00,0.7916666666666666,0.40555555555555556,0.40555555555555556,,
2017-06-30 00:00:00+00:00,0.8333333333333334,0.37222222222222223,0.40555555555555556,,
2017-07-06 00:00:00+00:00,0.9375,0.41111111111111115,0.41111111111111115,,
2017-07-14 00:00:00+00:00,0.9691666666666667,0.4222222222222222,0.4027777777777778,,
2017-07-21 00:00:00+00:00,0.8833333333333333,0.42944444444444446,0.44999999999999996,,
