dt,Alface Americana - Roça,Alface Crespa - Roça,Alface Lisa - Roça,Alface Americana - Atacado,Alface Crespa - Atacado,first_day_week,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-11-11 00:00:00+00:00,0.7916666666666666,0.3611111111111111,0.3611111111111111,,,2018-11-05 00:00:00+00:00,0.9035714285714287,907.610119047619,907.8208333333333,907.399107142857,468.7144345238095,17.322619047619046,13.821949404761906,17.798214285714284,16.894345238095237,14.42162293488824,13.003213070942664,79.37062682215743,71.46404275996113,76.43303571428571,182.47619047619048,3.177380952380952,0.5571428571428572
2018-11-18 00:00:00+00:00,0.9166666666666666,0.3611111111111111,0.3611111111111111,,,2018-11-12 00:00:00+00:00,0.24047619047619045,906.4059523809525,906.6380952380953,906.1744047619047,711.7036931818182,20.47797619047619,14.70892857142857,20.994642857142857,19.98452380952381,15.181547619047619,14.242261904761904,73.30357142857143,68.86904761904762,71.0952380952381,195.33333333333334,3.6803571428571424,0.8464285714285713
2018-11-25 00:00:00+00:00,0.875,0.3288888888888889,0.3288888888888889,,,2018-11-19 00:00:00+00:00,0.5416666666666666,907.1636904761905,907.4160714285714,906.9107142857143,450.504908008658,18.729761904761904,12.463095238095239,19.163690476190474,18.342261904761905,12.859523809523811,12.049404761904762,70.48214285714286,66.29761904761905,68.51785714285714,220.89285714285714,5.944047619047619,1.6505952380952382
2018-12-02 00:00:00+00:00,0.8058333333333333,0.3366666666666666,0.3516666666666667,,,2018-11-26 00:00:00+00:00,0.4309523809523809,905.0726190476191,905.320238095238,904.8708333333333,602.5656547619047,18.823214285714286,15.299404761904762,19.373214285714283,18.343452380952378,15.820238095238096,14.857142857142858,82.91071428571429,78.73809523809524,80.92857142857143,173.36904761904762,2.568452380952381,0.37023809523809526
2018-12-09 00:00:00+00:00,0.9166666666666666,0.3055555555555556,0.3055555555555556,,,2018-12-03 00:00:00+00:00,0.7619047619047619,905.522619047619,905.7285714285714,905.2559523809524,641.4375541125542,17.04642857142857,14.00297619047619,17.57202380952381,16.5375,14.529166666666667,13.589285714285714,85.16071428571429,81.42261904761905,83.25,146.53571428571428,3.1922619047619043,0.6648809523809524
2018-12-16 00:00:00+00:00,0.8608333333333333,0.3011111111111111,0.3055555555555556,,,2018-12-10 00:00:00+00:00,0.047619047619047616,910.1077380952381,910.3148809523809,909.922619047619,936.9671266233765,21.054761904761904,15.789285714285715,21.758333333333333,20.377380952380953,16.531547619047622,15.074404761904763,77.85714285714286,70.20833333333333,74.06547619047619,193.82142857142858,2.7142857142857144,0.5875
2018-12-23 00:00:00+00:00,0.5625,0.2638888888888889,0.2638888888888889,,,2018-12-17 00:00:00+00:00,0.6392857142857142,906.2339285714285,906.522619047619,906.0017857142857,867.525974025974,22.15,18.90297619047619,22.866666666666667,21.488095238095237,19.508333333333333,18.29047619047619,86.52380952380952,80.5,83.69642857142857,175.1547619047619,2.5029761904761907,0.3886904761904762
2018-12-30 00:00:00+00:00,0.6666666666666666,0.3425925925925926,0.3425925925925926,,,2018-12-24 00:00:00+00:00,0.9380952380952381,904.5767857142857,904.8011904761905,904.3565476190475,520.4419372294373,18.949404761904763,18.34285714285714,19.376190476190477,18.523214285714285,18.75595238095238,17.948809523809523,97.94642857142857,95.10119047619048,96.625,161.16666666666666,1.4910714285714286,0.10476190476190476
2019-01-06 00:00:00+00:00,0.7708333333333334,0.4212962962962963,0.4212962962962963,,,2018-12-31 00:00:00+00:00,0.925,906.2363095238096,906.4875,905.9839285714285,891.2324945887445,21.747619047619047,19.25595238095238,22.46547619047619,21.11547619047619,19.941071428571426,18.64702380952381,90.68452380952381,83.98809523809524,87.5297619047619,222.05357142857142,3.501785714285714,0.5214285714285714
2019-01-13 00:00:00+00:00,0.875,0.5,0.5,,,2019-01-07 00:00:00+00:00,0.0071428571428571435,907.9380952380952,908.1160714285714,907.7458333333333,1026.1905844155845,22.30297619047619,17.513095238095236,23.149404761904762,21.592261904761905,18.294642857142858,16.754761904761907,80.43452380952381,71.98809523809524,76.39880952380952,199.35714285714286,2.7988095238095236,0.5047619047619047
2019-01-20 00:00:00+00:00,1.0,0.4627777777777778,0.5277777777777778,,,2019-01-14 00:00:00+00:00,0.15595238095238095,907.4273809523809,907.6732142857143,907.1886904761906,895.5114718614719,22.723809523809525,19.176190476190477,23.41488095238095,22.04642857142857,19.829761904761906,18.54642857142857,85.77380952380952,79.00595238095238,82.4047619047619,202.79761904761904,2.5125,0.34285714285714286
2019-01-27 00:00:00+00:00,0.9583333333333334,0.4794444444444445,0.5211111111111112,,,2019-01-21 00:00:00+00:00,0.28095238095238095,908.2910714285714,908.5178571428571,908.0482142857143,880.3095779220779,21.95595238095238,18.685119047619047,22.68095238095238,21.342261904761905,19.399404761904762,18.103571428571428,86.44047619047619,80.2202380952381,83.44642857142857,200.94642857142858,2.5452380952380955,0.3261904761904762
2019-02-03 00:00:00+00:00,0.9791666666666667,0.6147222222222223,0.6355555555555557,,,2019-01-28 00:00:00+00:00,0.027380952380952377,908.0160714285715,908.2089285714286,907.8446428571428,937.8797619047618,23.014285714285716,18.52857142857143,23.79583333333333,22.29702380952381,19.264880952380953,17.824404761904763,80.92261904761905,73.56547619047619,77.38690476190476,192.36904761904762,1.9708333333333334,0.3273809523809524
2019-02-10 00:00:00+00:00,1.0,0.75,0.75,,,2019-02-04 00:00:00+00:00,0.5666666666666667,905.8178571428571,906.0470238095238,905.597619047619,555.144237012987,19.40297619047619,17.63095238095238,19.922619047619047,18.910119047619048,18.113095238095237,17.208333333333332,92.21428571428571,88.17261904761905,90.26190476190476,186.875,2.7547619047619047,0.3333333333333333
2019-02-17 00:00:00+00:00,1.25,0.8405555555555556,0.8405555555555556,,,2019-02-11 00:00:00+00:00,1.0654761904761905,905.3369047619047,905.5714285714286,905.0988095238096,466.08507395382395,20.507738095238096,17.911309523809525,21.047619047619047,20.054166666666667,18.317857142857143,17.50952380952381,88.28571428571429,83.36309523809524,86.11309523809524,198.48214285714286,3.957738095238095,0.7964285714285715
2019-02-24 00:00:00+00:00,1.25,0.8516666666666667,0.8516666666666667,,,2019-02-18 00:00:00+00:00,0.4095238095238095,906.0380952380953,906.3041666666667,905.7767857142857,801.2903048340548,22.082738095238096,19.41845238095238,22.751785714285717,21.505357142857143,20.07797619047619,18.86845238095238,89.32738095238095,83.0,86.28571428571429,202.73809523809524,2.8892857142857142,0.5178571428571429
2019-03-03 00:00:00+00:00,1.4583333333333335,0.9188888888888889,0.9188888888888889,,,2019-02-25 00:00:00+00:00,0.3976190476190476,906.0136904761904,906.2803571428572,905.7321428571429,627.2888122294372,21.875,18.666071428571428,22.53333333333333,21.23392857142857,19.257738095238096,18.057738095238093,86.73214285714286,79.75595238095238,83.38095238095238,225.85714285714286,3.8904761904761904,0.6785714285714286
2019-03-10 00:00:00+00:00,1.6666666666666667,0.9861111111111112,0.9861111111111112,,,2019-03-04 00:00:00+00:00,0.5345238095238095,908.5999999999999,908.827380952381,908.3916666666667,745.723363095238,21.702380952380953,18.561904761904763,22.34702380952381,21.057142857142857,19.174404761904764,18.01904761904762,86.42857142857143,80.6547619047619,83.52380952380952,205.29166666666666,3.044047619047619,0.5452380952380952
2019-03-17 00:00:00+00:00,1.3891666666666669,1.018333333333333,1.018333333333333,,,2019-03-11 00:00:00+00:00,0.9214285714285715,906.397619047619,906.6333333333333,906.1553571428572,549.6924107142856,20.916071428571428,19.622619047619047,21.478571428571428,20.407738095238095,20.154761904761905,19.19702380952381,95.0297619047619,90.79166666666667,93.00595238095238,198.45238095238096,1.5166666666666668,0.13988095238095238
2019-03-24 00:00:00+00:00,1.3208333333333333,0.9722222222222222,0.9722222222222222,,,2019-03-18 00:00:00+00:00,1.0226190476190475,905.5654761904761,905.7708333333334,905.3470238095238,446.7145718864469,19.307142857142857,18.475595238095238,19.77916666666667,18.91904761904762,18.902380952380952,18.07916666666667,96.80952380952381,93.44047619047619,95.36904761904762,155.63095238095238,1.8553571428571427,0.08333333333333333
2019-03-31 00:00:00+00:00,0.9166666666666666,0.75,0.75,,,2019-03-25 00:00:00+00:00,0.8023809523809524,909.5863095238095,909.7797619047619,909.3904761904762,694.4044871794872,18.16785714285714,16.444642857142856,18.741071428571427,17.601785714285715,17.107142857142858,15.824404761904763,93.5297619047619,88.0952380952381,90.86904761904762,163.17857142857142,1.3363095238095237,0.11607142857142858
