experiment_group,model,model_id,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,R2,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,R2_by_timestep,loss,val_loss,columns
1,V0,422,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.422,8,8,None,0.41172009022834355,0.32518110268314676,0.16951343269763536,0.39643508480613504,-0.8273746321989754,"0.31904397006628726,0.3541273053799115,0.3994793161658117,0.42561640693746733,0.45931110256963953,0.41873634280264316,0.44800214444923697,0.44851585621083434","0.24439594291195726,0.27243235398783827,0.3062356534943437,0.326891674749779,0.36431969109448525,0.34158828076449316,0.36857026501135404,0.3770149594509241","0.10178905483565799,0.1254061484156371,0.15958372404430457,0.18114932585435978,0.21096668894373793,0.17534012478373268,0.20070592143111501,0.2011664732725378","0.291677111651529,0.3284335779025249,0.3582003770834875,0.37969408002919763,0.41679705519077276,0.45116980719934285,0.4638531021081037,0.481655567284122","-0.13770901587086626,-0.2887519317324174,-0.6117209380627635,-0.8655420007052195,-1.2345656416488686,-0.9018829302506615,-1.2451214190547435,-1.3337031802662644","0.12692765891551971,0.12172824889421463,0.11660309135913849,0.11166562885046005,0.10641684383153915,0.10114359110593796,0.09581754356622696,0.09052399545907974,0.08462435007095337,0.0795140191912651,0.07395279407501221,0.06867881119251251,0.06362862139940262,0.058789122849702835,0.05497779697179794,0.05147656425833702,0.048348985612392426,0.0464741587638855,0.045456662774086,0.04565856605768204,0.04542498663067818,0.046032559126615524,0.04718882963061333,0.047433216124773026,0.04759233817458153,0.048174358904361725,0.04801945760846138","0.4323507249355316,0.40932658314704895,0.3861374855041504,0.36254096031188965,0.33824917674064636,0.3133486807346344,0.2879236936569214,0.2622793912887573,0.23654629290103912,0.21111580729484558,0.18657758831977844,0.16368243098258972,0.14332139492034912,0.12644754350185394,0.11404076218605042,0.1070077195763588,0.10591215640306473,0.11076904833316803,0.12072218209505081,0.13385982811450958,0.14774000644683838,0.15980973839759827,0.16807451844215393,0.17157100141048431,0.17032477259635925,0.16507217288017273,0.1572793424129486","Alface Crespa - Roça"
1,V0,423,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.423,8,8,None,0.4174727962520344,0.32799523536725483,0.1742835356104926,0.39154308701244833,-0.8786087955671601,"0.3076258363290562,0.36318684457171313,0.40802937222924596,0.42346265176984654,0.4676528547933906,0.43989974464873,0.44194630715202354,0.4630268277836094","0.2359876077897621,0.27613824694806877,0.30940583176323866,0.3256602877631332,0.3739043699394573,0.3491017462412517,0.35920019431547695,0.39456359817764985","0.09463365517715128,0.1319046840699577,0.16648796860179257,0.17932061744395034,0.21869919259640805,0.19351178534201788,0.19531653840531074,0.21439384324735225","0.28138536209834,0.3264313209580715,0.3540588273605414,0.3787942304097128,0.42377486763484357,0.42294990799393123,0.450682344957653,0.4942678346864929","-0.05773221761111258,-0.355534944238153,-0.6814505773568056,-0.8467092927689808,-1.3164685575674526,-1.0989876777962624,-1.1848351097099736,-1.4871519874885415","0.12469284981489182,0.11910894513130188,0.11349538713693619,0.10802605748176575,0.10260491818189621,0.0971732959151268,0.09193497896194458,0.08648401498794556,0.08140314370393753,0.0761834904551506,0.07113126665353775,0.06615226715803146,0.0616656057536602,0.057191845029592514,0.05337293818593025,0.05010311305522919,0.04812299832701683,0.046135928481817245,0.045008063316345215,0.04532063379883766,0.04531070217490196,0.04608472064137459,0.047491490840911865,0.047667235136032104,0.046619851142168045,0.04814492166042328","0.41592541337013245,0.39037883281707764,0.36540234088897705,0.3407804071903229,0.31617245078086853,0.29141965508461,0.26658082008361816,0.24174509942531586,0.21706324815750122,0.19302938878536224,0.17016880214214325,0.1492256373167038,0.1309719681739807,0.1162605807185173,0.1059597060084343,0.10082037001848221,0.1012612134218216,0.10711576044559479,0.11752801388502121,0.13065659999847412,0.14434009790420532,0.15611766278743744,0.16412201523780823,0.16769950091838837,0.16735585033893585,0.1635664850473404","Alface Crespa - Roça"
1,V0,424,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.424,8,8,None,0.4210217876991456,0.3325962661712459,0.17725934571738444,0.4002742702117067,-0.911267346516671,"0.380786974315657,0.3806804221257304,0.41545398628495483,0.4134093958866109,0.4534005858659837,0.4189535627810768,0.4551718116841236,0.4431405664470407","0.2999973066286607,0.28648710560798646,0.31457483017805854,0.3198553301782319,0.35545086945186966,0.34272671974789015,0.3711258855733005,0.3705520820039692","0.14499871980847281,0.14491758378982428,0.17260201472005945,0.1709073286073326,0.20557209126361728,0.17552208776695769,0.20718137815180726,0.1963735616310041","0.34572431950788635,0.32873657136241013,0.3568609316058323,0.37743539775053886,0.4082354395729826,0.4545799510005438,0.45138278715270785,0.4792387637407513","-0.6206688536618898,-0.48926363189257094,-0.7431995821760959,-0.7600661677407734,-1.1774258975173622,-0.903856650140276,-1.3175566839344488,-1.2781013050699501","0.1239333301782608,0.1183067187666893,0.11281421035528183,0.10747899115085602,0.10185043513774872,0.09692146629095078,0.09155229479074478,0.0863243117928505,0.08099713176488876,0.07581815123558044,0.07084377855062485,0.06594245880842209,0.06128199025988579,0.05698295310139656,0.0530114509165287,0.05025729537010193,0.04801028221845627,0.046384457498788834,0.04562768340110779,0.045622002333402634,0.04609105363488197,0.04692457616329193,0.046888213604688644,0.04751701280474663,0.04867793247103691,0.04830602556467056","0.4129752814769745,0.3882010877132416,0.3642495572566986,0.34063631296157837,0.31713610887527466,0.29355549812316895,0.2698568105697632,0.24610452353954315,0.22250227630138397,0.19940979778766632,0.17752306163311005,0.15764571726322174,0.14056842029094696,0.12716072797775269,0.1182466447353363,0.1144912838935852,0.11604797095060349,0.1224665641784668,0.13258151710033417,0.14444701373577118,0.15586727857589722,0.16482585668563843,0.17004525661468506,0.17100796103477478,0.16768229007720947,0.16128720343112946","Alface Crespa - Roça"
1,V0,425,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.425,8,8,None,0.41728925380182075,0.3289753472552155,0.17413032133848036,0.39303429458304917,-0.8794779906927905,"0.35000437846444293,0.36942584990997374,0.3967901602399558,0.4389357433600386,0.4242804511980473,0.427662503310339,0.4532510532095764,0.46433973971382336","0.2737084792960774,0.2778767019546393,0.30195912643634915,0.3383698721004255,0.3366239675102812,0.34468405534281876,0.3703295902772384,0.3882509851238945","0.12250306494428102,0.13647545858170645,0.1574424312632498,0.19266458679902967,0.18001390126881858,0.18289521673766573,0.20543651723559028,0.21561139387750125","0.315787026918543,0.3215239185966855,0.34679276745793064,0.38261678238263186,0.4095473483629812,0.43772876072487993,0.4523918624426615,0.4778858897780799","-0.3692321014665587,-0.4025070788260532,-0.59009488295961,-0.9841303688376706,-0.906712764979448,-0.9838316595639447,-1.2980384525422832,-1.5012766163667561","0.1251385658979416,0.12033593654632568,0.11579547077417374,0.11110664159059525,0.10624860972166061,0.10169461369514465,0.09689384698867798,0.0921887457370758,0.08679116517305374,0.0816693976521492,0.07643959671258926,0.07114487886428833,0.06624656915664673,0.06131066009402275,0.056706856936216354,0.052817195653915405,0.0493878498673439,0.04727218300104141,0.04553109034895897,0.045197535306215286,0.045151226222515106,0.045453883707523346,0.045649681240320206,0.0474577322602272,0.04712308570742607,0.04803383722901344,0.04826464504003525","0.42314836382865906,0.4025150537490845,0.38213202357292175,0.3616645038127899,0.3406432271003723,0.3189511001110077,0.2964758276939392,0.27326783537864685,0.24942518770694733,0.22524426877498627,0.20123933255672455,0.17805787920951843,0.15654738247394562,0.13763542473316193,0.12237349152565002,0.11177286505699158,0.10671982169151306,0.10763559490442276,0.11431032419204712,0.1255546659231186,0.13917934894561768,0.1526409536600113,0.16391925513744354,0.1711176335811615,0.17365694046020508,0.17156358063220978,0.16587956249713898","Alface Crespa - Roça"
1,V0,426,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.426,8,8,None,0.4105798483990381,0.32329017291827633,0.1685758119113771,0.3923751600031087,-0.8203974737571216,"0.3248545810348769,0.35541442085399283,0.38460154925015344,0.43521453064162535,0.4207421616505359,0.43760127861008946,0.4338323931672276,0.47190799480482315","0.2487125623659654,0.2706625947302038,0.30140164148446286,0.33445326173666756,0.332479005242839,0.34808176898956306,0.3519384801026547,0.3985920686938547","0.10553049881934543,0.12631941055097914,0.1479183516856182,0.18941168768161024,0.1770239665903657,0.19149487904118515,0.18821054536120393,0.222697155560709","0.2952621739796524,0.322713097651331,0.3668223415799014,0.3845829655210602,0.40345439559494317,0.4288014944532417,0.4516293960781818,0.4857354151665576","-0.17952760392524536,-0.29813718401844747,-0.49390613587420407,-0.9506308241996642,-0.8750432851355139,-1.0771106563774624,-1.1053465870335075,-1.5834775134929284","0.12785853445529938,0.12288542836904526,0.11816193163394928,0.11358284205198288,0.10878109931945801,0.10397321730852127,0.09899500012397766,0.09394199401140213,0.08879739791154861,0.08328504860401154,0.07806369662284851,0.07283462584018707,0.06764016300439835,0.06232312694191933,0.05808088555932045,0.05382014811038971,0.05036213621497154,0.047385066747665405,0.04573371261358261,0.04487376660108566,0.04464075714349747,0.04506376013159752,0.04558602720499039,0.04684814438223839,0.04750178009271622,0.04757647588849068,0.04701467603445053,0.0474620945751667","0.4392222464084625,0.41797494888305664,0.3968537449836731,0.3755585849285126,0.3536756932735443,0.33115509152412415,0.3077892065048218,0.2836081087589264,0.25868773460388184,0.2333860844373703,0.20818065106868744,0.1836831420660019,0.16074016690254211,0.14027108252048492,0.12327291071414948,0.11081428080797195,0.1038019210100174,0.10281546413898468,0.10786852240562439,0.11793813854455948,0.13104228675365448,0.14466556906700134,0.1564105600118637,0.16425830125808716,0.16726572811603546,0.16579550504684448,0.16100947558879852,0.153902068734169","Alface Crespa - Roça"
2,V0,427,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.427,8,8,None,0.34488151539797096,0.26135497303261895,0.11894325966320089,0.32019731758969594,-0.28170562434660706,"0.2881114254908552,0.31970592146551824,0.3398193351805471,0.34734261664331023,0.35716011853188223,0.36371904494792184,0.36623453379626447,0.36907899698498703","0.22468175042759286,0.23831750268647167,0.2527501528913324,0.2575980684540488,0.26779285464142305,0.2761787808447173,0.2825530613407944,0.29096761297457147","0.08300819349837261,0.1022118762201161,0.115477180562549,0.12064689333662156,0.12756335026970816,0.1322915436578284,0.13412773374496717,0.13621930601544407","0.26797428417283115,0.2812503183663994,0.295701122956209,0.30765072989667147,0.32449703200753616,0.34060384195256155,0.3574310789513628,0.38647013241399614","0.07220702376373078,-0.05039309945224524,-0.1662654878854921,-0.2424658259839354,-0.35115491963913126,-0.4349426807450101,-0.500369524590486,-0.5802604802402864","0.13112327456474304,0.1236661747097969,0.116275854408741,0.10862021148204803,0.10122181475162506,0.09385577589273453,0.08622381091117859,0.0789337083697319,0.07169252634048462,0.06496390700340271,0.05894152447581291,0.05385202169418335,0.04995334893465042,0.04766777157783508,0.04659558832645416,0.04704425111413002,0.04842892661690712,0.04928978905081749,0.050746332854032516,0.05041792616248131,0.049792058765888214,0.0490109845995903,0.04796326532959938,0.047051358968019485,0.04601465165615082,0.04480507969856262,0.044057805091142654,0.042946409434080124,0.043477531522512436,0.04238590598106384,0.04255500063300133,0.042503248900175095,0.04219960793852806,0.042426105588674545,0.04163571074604988,0.04157404229044914,0.04184604808688164,0.04190275818109512,0.041541069746017456,0.04176248610019684,0.04155673459172249,0.041609130799770355,0.04138048365712166,0.040771838277578354,0.040874265134334564,0.040202248841524124,0.04005266726016998,0.04012344032526016,0.039898138493299484,0.039859797805547714,0.03935106098651886","0.4375852644443512,0.4112074673175812,0.3852960169315338,0.3591161072254181,0.3322193920612335,0.3045457601547241,0.2762497663497925,0.2476542890071869,0.21946339309215546,0.19260533154010773,0.1684698909521103,0.14842092990875244,0.1334390789270401,0.12407808750867844,0.12006011605262756,0.1199163869023323,0.12131654471158981,0.12224778532981873,0.12172438204288483,0.11972803622484207,0.11690090596675873,0.11397603899240494,0.11161742359399796,0.1101546660065651,0.10954239219427109,0.1096094623208046,0.11004222184419632,0.11053918302059174,0.11089128255844116,0.11099674552679062,0.11082055419683456,0.11042266339063644,0.10985161364078522,0.10920611023902893,0.10852644592523575,0.107815682888031,0.10716775804758072,0.10665764659643173,0.10628441721200943,0.10607987642288208,0.10602408647537231,0.1060827374458313,0.10629290342330933,0.10660609602928162,0.10703917592763901,0.10751380771398544,0.1079498827457428,0.1083720326423645,0.10872258991003036,0.10902828723192215,0.10926520079374313","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,428,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.428,8,8,None,0.3416877217970937,0.2593629799114935,0.11675049922688813,0.31905755403388236,-0.2579712414028345,"0.27549989065275704,0.3194331164120632,0.33705413957633823,0.3461263280888001,0.35230633458592914,0.3592550262139072,0.36435596396504394,0.3697541946708594","0.2135923024741086,0.23866317332152165,0.2492896488146348,0.25903037944707,0.26791700371106464,0.2726053199334578,0.28321281800848064,0.29059319358161007","0.07590018974968109,0.1020375158607227,0.11360549300554568,0.11980343499623572,0.12411975338937263,0.12906417385995517,0.1327552684768964,0.1367181644766958","0.258239967181062,0.2813575556679993,0.292312590226869,0.31014048562182095,0.33198825868793,0.3350686058156719,0.360714368838453,0.3826386002312525","0.15165407200272618,-0.04860126346314342,-0.14736231938757993,-0.23377958355706618,-0.31468023583471716,-0.3999359785668728,-0.48501695727068217,-0.586047665145341","0.12488280236721039,0.11713951081037521,0.10994125157594681,0.10241075605154037,0.09523127973079681,0.08769534528255463,0.08043228089809418,0.07292597740888596,0.06630126386880875,0.06027179956436157,0.055192939937114716,0.05095488578081131,0.0483882836997509,0.04693075269460678,0.04710198566317558,0.048080556094646454,0.050736118108034134,0.05004028603434563,0.05184555798768997,0.050779182463884354,0.05059312656521797,0.049213580787181854,0.04752619192004204,0.04630342870950699,0.04555152356624603,0.044604167342185974,0.04445464164018631,0.04372315853834152,0.04380971938371658,0.04307061806321144,0.042612165212631226,0.04287342354655266,0.04260921850800514,0.042426589876413345,0.042050786316394806,0.042467739433050156,0.041860055178403854,0.04233663156628609,0.04196855053305626,0.04227447882294655,0.04176407679915428,0.04172755777835846,0.04168979823589325,0.04122855141758919,0.04131745919585228,0.04043909162282944,0.04050055146217346,0.04025547206401825,0.040098514407873154,0.04004467651247978","0.42291826009750366,0.39535683393478394,0.36750802397727966,0.33876124024391174,0.3090555965900421,0.27856168150901794,0.24783490598201752,0.21770106256008148,0.18912793695926666,0.16337765753269196,0.14177808165550232,0.12559190392494202,0.11560594290494919,0.11165523529052734,0.11234841495752335,0.11537598073482513,0.11826764792203903,0.11974697560071945,0.11924879252910614,0.11741826683282852,0.11512332409620285,0.11314680427312851,0.11190015077590942,0.11133349686861038,0.1112101674079895,0.11126694083213806,0.11124337464570999,0.11104065179824829,0.11057542264461517,0.10989560931921005,0.10905658453702927,0.10811198502779007,0.10715290158987045,0.10624485462903976,0.10544417798519135,0.10480497032403946,0.1042967215180397,0.10392186045646667,0.10370330512523651,0.10368595272302628,0.10383107513189316,0.10413277894258499,0.10458089411258698,0.1051063984632492,0.10569634288549423,0.10622686892747879,0.1067340150475502,0.10715856403112411,0.10750183463096619,0.10777833312749863","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,429,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.429,8,8,None,0.3493967173939896,0.2728649522066116,0.12207806612569541,0.3472713298106615,-0.3160048509304735,"0.25000131550842336,0.3040381479630801,0.34021506954173836,0.3612923647002849,0.36646563931358633,0.3899386616636765,0.37660782223909234,0.38369718929064517","0.19571094174096076,0.22844082809217048,0.26465130593559955,0.2791717330686973,0.28916574470924605,0.3084273301760356,0.3071144093238946,0.31023732460628856","0.06250065775594225,0.09243919541681979,0.11574629354328989,0.13053217279072368,0.13429706479751555,0.1520521598600592,0.14183345177167178,0.1472235330695412","0.25844991503991566,0.2873817743856944,0.34592187811171893,0.3392776953826677,0.36124044943173994,0.37490733298476764,0.4005425532278456,0.41044903992094195","0.3014223195057608,0.050037074208059806,-0.1689834030636348,-0.34426804867154503,-0.42247863050479806,-0.649282545579783,-0.5865666455702396,-0.7079189277676075","0.12559261918067932,0.11805560439825058,0.11053874343633652,0.10367254912853241,0.09690684080123901,0.0895141139626503,0.08246991038322449,0.07570352405309677,0.06895382702350616,0.06261817365884781,0.057027667760849,0.052295319736003876,0.04903202876448631,0.047237470746040344,0.045744240283966064,0.04727516323328018,0.04779968410730362,0.04897165670990944,0.050498560070991516,0.04979101940989494,0.0509628988802433,0.050222575664520264,0.04883398860692978,0.04708948731422424,0.04671512171626091","0.42384934425354004,0.3959354758262634,0.3686350882053375,0.3413313329219818,0.3134446144104004,0.2850356101989746,0.2563827633857727,0.22783106565475464,0.1999935805797577,0.1737915426492691,0.15056052803993225,0.13157323002815247,0.11804749816656113,0.11056210100650787,0.10864879190921783,0.11065322160720825,0.11434699594974518,0.11764825135469437,0.11919520050287247,0.11894168704748154,0.11737396568059921,0.11526810377836227,0.11332684010267258,0.11198104172945023,0.11118114739656448","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,430,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.430,8,8,None,0.34268277860185614,0.2591072084099957,0.11743148675028876,0.31598941505099454,-0.26403350440861423,"0.2791369008550138,0.3219394984854516,0.3377931690649272,0.3530021385113132,0.3582820364477578,0.3595014094082205,0.36531927403175923,0.3579235338044657","0.2153724607554349,0.2389016824129856,0.2510569959626053,0.26189286812868984,0.27138997056989955,0.274753540949388,0.28161695837252065,0.277873190128442","0.07791740941894182,0.10364504068506411,0.11410422506692648,0.12461050979356034,0.12836601764115244,0.12924126336649697,0.1334581719790916,0.12810925605107648","0.25797064518656837,0.2819196657490161,0.2956674330428296,0.30979630765997884,0.33017982095066556,0.33552122498115694,0.35856601543329203,0.35829420740444906","0.12910735508492643,-0.06512119289923057,-0.15239927983341772,-0.28328459768088665,-0.35965679706291875,-0.4018568367277402,-0.4928797233368478,-0.4861769628127992","0.12787218391895294,0.11969448626041412,0.1122683584690094,0.1046469435095787,0.09689199924468994,0.08953284472227097,0.08183972537517548,0.07457339018583298,0.06747114658355713,0.060917746275663376,0.05572446435689926,0.05113503709435463,0.04815010353922844,0.046726807951927185,0.046757813543081284,0.0475822351872921,0.04923762381076813,0.049327827990055084,0.050734274089336395,0.052207592874765396,0.049994759261608124,0.049117591232061386,0.047648195177316666,0.04615896940231323,0.04539061337709427,0.04374488443136215,0.04389914497733116,0.04339064657688141,0.04305723309516907,0.04275895282626152,0.042835984379053116,0.04249532148241997,0.042233362793922424,0.04248064383864403,0.042060986161231995,0.04218817129731178,0.04139494150876999,0.04174944385886192,0.04169180616736412,0.04168097302317619,0.041216764599084854,0.040733739733695984,0.041061222553253174,0.04077538847923279,0.0402187779545784,0.040403563529253006,0.040298715233802795,0.03989267721772194,0.0399809367954731","0.4328322112560272,0.4035486876964569,0.374370276927948,0.34491679072380066,0.3149861991405487,0.28457945585250854,0.2540348768234253,0.2239162027835846,0.19515001773834229,0.16882093250751495,0.14623193442821503,0.12871834635734558,0.11720747500658035,0.11175868660211563,0.1111435741186142,0.11323178559541702,0.11570512503385544,0.11714984476566315,0.1169474646449089,0.11526628583669662,0.1130807176232338,0.11119625717401505,0.11005672812461853,0.10969028621912003,0.1098402664065361,0.11019763350486755,0.11049574613571167,0.11061368137598038,0.11049428582191467,0.11013658344745636,0.10957424342632294,0.1088593378663063,0.10806255787611008,0.10729756206274033,0.10662748664617538,0.1061336100101471,0.10574951022863388,0.10550258308649063,0.10542145371437073,0.10553719848394394,0.10580963641405106,0.1060991883277893,0.10647368431091309,0.10691120475530624,0.1073087528347969,0.10771943628787994,0.10814867168664932,0.10856319963932037,0.10901746153831482","Alface Crespa - Roça,Alface Crespa - Roça_+50"
2,V0,431,/home/patrick/Desktop/Projects/time-series-analysis/saved_models/model_V0.431,8,8,None,0.3414104144545926,0.25854540206175863,0.11656107109805669,0.3181760623915504,-0.25525200101999584,"0.2815530029487798,0.31193586346860597,0.339469027046243,0.3498341729896237,0.35705098158750537,0.3613214609531725,0.35996591832027247,0.36149033117349516","0.21801273031668228,0.23211229343125314,0.2513080652121341,0.2586037661017793,0.2704282047315077,0.27632581628452646,0.2788198078617905,0.2827525325543953","0.07927209346947559,0.09730398291790478,0.11523922032372287,0.12238394859133397,0.1274854034526011,0.13055319814533498,0.12957546235215706,0.13067525953192322","0.2630365724743585,0.2753881924298242,0.2966742608145444,0.30810244581147245,0.3309465093020327,0.34747535359986276,0.3544270407169311,0.3693581239833768","0.11396588176604039,4.347844980545634e-05,-0.16386220082323488,-0.26035465620689213,-0.3503293045609619,-0.4160871583073087,-0.4494472501679252,-0.5159447983094898","0.12571008503437042,0.11707266420125961,0.1085553839802742,0.1007523313164711,0.09231467545032501,0.08431985974311829,0.07636754214763641,0.0687883049249649,0.062105413526296616,0.05594029277563095,0.05104571953415871,0.04773888736963272,0.045758072286844254,0.04664120078086853,0.047718897461891174,0.04855244234204292,0.05042927712202072,0.05075552314519882,0.050753165036439896,0.050166621804237366,0.04857397824525833,0.04742390662431717,0.04590520262718201,0.044972535222768784,0.04463310167193413,0.04339924827218056,0.043556228280067444,0.04303950443863869,0.04239864647388458,0.04213111847639084,0.04220886155962944,0.04201807826757431,0.04194532707333565,0.04182060807943344,0.041777364909648895,0.04214957728981972,0.04167141020298004,0.04150959104299545,0.04165802523493767,0.04158444702625275,0.04054637253284454,0.04101371020078659,0.04064517468214035,0.04030834138393402,0.04026753827929497,0.03983863443136215,0.040264129638671875,0.03988169506192207","0.4165194630622864,0.38462331891059875,0.3531379699707031,0.32161760330200195,0.28972986340522766,0.2577255070209503,0.22604462504386902,0.19561722874641418,0.1677943468093872,0.14401322603225708,0.12572628259658813,0.11405017226934433,0.10918039828538895,0.10982662439346313,0.11330320686101913,0.11692389845848083,0.11870740354061127,0.11822272837162018,0.11610706150531769,0.11339154839515686,0.11095921695232391,0.1093311458826065,0.10856366157531738,0.10847291350364685,0.10873141884803772,0.1089964509010315,0.10909241437911987,0.10890830308198929,0.10840803384780884,0.10764504969120026,0.1067160964012146,0.10570777207612991,0.10478638112545013,0.10398714989423752,0.10336510092020035,0.10294702649116516,0.10268771648406982,0.10259289294481277,0.10269220918416977,0.10295560210943222,0.10325657576322556,0.10365013033151627,0.10407549887895584,0.10454238951206207,0.10500707477331161,0.10544886440038681,0.1059364303946495,0.10645733028650284","Alface Crespa - Roça,Alface Crespa - Roça_+50"
