model,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,loss,val_loss,columns
V0,../../saved_models/model_V0.218,8,8,None,0.38617535330698344,0.3025189799928002,0.14913140350177348,0.481116202140431,"0.3333014368194843,0.3738755919313689,0.4281000394043641,0.38915023345409594,0.3964594596186266,0.3781248499498242,0.4031028558149346,0.3805528299907935","0.2753266976582095,0.29176583582451004,0.32646186189362997,0.30189724063177403,0.3091890371904145,0.2927208056852934,0.3214055218287754,0.3013848392297955","0.1110898477859327,0.13978295824203146,0.1832696437380181,0.15143790419737738,0.1571801031210934,0.14297840214957705,0.16249191236615596,0.14482045641400176","0.4942313893602161,0.501201110822179,0.5399449212382812,0.4667092524878988,0.46362866757004545,0.4307755048901286,0.48843216614327833,0.4640066046114201","0.12518014013767242,0.10499338060617447,0.08703629672527313,0.06930321455001831,0.05625014752149582,0.04626648128032684,0.04166992008686066,0.04340362548828125,0.04712545871734619,0.04939142242074013,0.05059603974223137,0.04769297316670418,0.04397758096456528,0.04147172346711159,0.03810584545135498,0.037200894206762314,0.034986238926649094,0.033999986946582794,0.0334983766078949,0.031734246760606766","0.3981098532676697,0.34373581409454346,0.28875815868377686,0.23414787650108337,0.18271128833293915,0.13880221545696259,0.10671625286340714,0.08827903121709824,0.0806003212928772,0.07946965843439102,0.08247808367013931,0.08829030394554138,0.09582141786813736,0.103973887860775,0.11109969764947891,0.11656629294157028,0.1196792870759964,0.1202419325709343,0.1185380294919014,0.11544035375118256","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max"
V0,../../saved_models/model_V0.219,8,8,None,0.38325428064223255,0.30165273282444743,0.14688384363059515,0.49310676965196854,"0.3159761315341214,0.3755378383218696,0.389402224057319,0.40400797053742904,0.4065613531779022,0.3935516525606214,0.3907746256957127,0.38270718278705484","0.2655866762460203,0.2900989253479647,0.30330087019448304,0.3159456088003616,0.3159587162198468,0.3070047566407936,0.3094481531295708,0.3058781560165392","0.0998409156992684,0.1410286680114627,0.1516340921007865,0.16322244025777213,0.16529213389784692,0.1548829032331961,0.15270480808762435,0.1464647877568042","0.49414636403556694,0.5175276527437753,0.5225741907495182,0.5158112871405499,0.49276614081504705,0.4498834636345148,0.46764503563020826,0.4845000224665673","0.12653067708015442,0.10180488973855972,0.08076335489749908,0.06238360330462456,0.048501111567020416,0.04079898074269295,0.03951896354556084,0.04404907301068306,0.04973847046494484,0.0514424629509449,0.04956042766571045,0.045892391353845596,0.0416094996035099,0.03801421821117401,0.036571625620126724,0.03557529300451279,0.03327184170484543,0.03263797610998154,0.031248176470398903","0.37090063095092773,0.3091489374637604,0.2501773238182068,0.19448448717594147,0.1452668011188507,0.10758268088102341,0.08522073924541473,0.07572545856237411,0.07307133823633194,0.07368256896734238,0.07685620337724686,0.08256617933511734,0.08995363861322403,0.09776362031698227,0.1046416163444519,0.1095796525478363,0.11201350390911102,0.1120457798242569,0.11004790663719177","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max"
V0,../../saved_models/model_V0.220,8,8,None,0.3896167962869451,0.3008345313792934,0.1518012479489029,0.48242502663684017,"0.3632674863686083,0.390884094502066,0.3821081266044602,0.42978203436134654,0.39967448370729436,0.3960309387283169,0.381185481193776,0.3702088001349419","0.2791260104909354,0.3023551368688008,0.29875484759302345,0.3290412150758783,0.3161695525562124,0.312122141417851,0.2876185876024136,0.28148875942923235","0.131963266652567,0.15279037533470008,0.14600662041717016,0.18471259705977766,0.15973969292669232,0.15684050443003192,0.14530237107293056,0.13705455569735334","0.5378062715673885,0.5082366078944421,0.49014953378105847,0.5518840426915174,0.47888553293924135,0.4611786434730732,0.40956266588814544,0.4216969148598545","0.12257284671068192,0.10118716955184937,0.08266623318195343,0.06633865833282471,0.054098233580589294,0.046253688633441925,0.04330642893910408,0.04521935433149338,0.04870108887553215,0.048889219760894775,0.05017426982522011,0.04880134016275406,0.04389450326561928,0.040831416845321655,0.038059916347265244,0.03522173687815666,0.03288379684090614,0.03373325988650322,0.03274039551615715,0.03221290931105614","0.3835427463054657,0.32729846239089966,0.27309009432792664,0.22101056575775146,0.1734236627817154,0.1341947466135025,0.10616856068372726,0.0897904708981514,0.08238329738378525,0.08048125356435776,0.08219923079013824,0.08692607283592224,0.093794085085392,0.10157595574855804,0.10900842398405075,0.11494924873113632,0.11858778446912766,0.11990448087453842,0.11901506781578064,0.11643088608980179","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max"
V0,../../saved_models/model_V0.221,8,8,None,0.37748114943176236,0.2950840734647161,0.1424920181763245,0.4781078609044428,"0.3476443211209858,0.3418042247321533,0.4000112437658397,0.4001310760652312,0.39592036628817473,0.3913016500406445,0.37221657683594866,0.36567809935542694","0.2625700225312502,0.27220237028131233,0.31871743343419395,0.31398097518766943,0.30670151450489763,0.3030166732565398,0.29297078750676464,0.29051281101510096","0.1208565740076711,0.11683012804474834,0.160008995139094,0.16010487803311982,0.15675293644176244,0.15311698132453103,0.13854518007147168,0.1337204723481975","0.5056900852928764,0.45595999432646384,0.5386471589042501,0.49917411296702935,0.4582626960917226,0.4448056851625973,0.4495965450750764,0.47272660941552613","0.12667351961135864,0.10438034683465958,0.08393619954586029,0.06628526747226715,0.0522758811712265,0.042263954877853394,0.039868712425231934,0.04456084966659546,0.0495610311627388,0.052500102669000626,0.04952224716544151,0.04614768549799919,0.0415630117058754,0.03737657517194748,0.03614255413413048,0.03463483601808548,0.031461142003536224,0.03278475999832153,0.03166136145591736,0.03044273518025875","0.3815207779407501,0.3259892165660858,0.26936373114585876,0.21366138756275177,0.1625206023454666,0.1213340237736702,0.09437324851751328,0.08101993799209595,0.07604608684778214,0.07545214891433716,0.07786832749843597,0.08309284597635269,0.0904557853937149,0.09855416417121887,0.10586100816726685,0.11145791411399841,0.11448926478624344,0.11499688774347305,0.1133265346288681,0.10979165881872177","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max"
V0,../../saved_models/model_V0.222,8,8,None,0.3844020789323409,0.2989052153048671,0.14776495828750563,0.47652628094363414,"0.34372375498974445,0.37383509741987475,0.4141981650725675,0.41120378207116837,0.392055785135157,0.38741457373136,0.3783711713455332,0.36960757872501293","0.2828401989732408,0.29390946756455993,0.32266299225197415,0.3139133759739553,0.3046571186550051,0.2997403184818113,0.28654184740558886,0.28697640313280137","0.11814601974424986,0.13975268006292724,0.1715601199494819,0.1690885503896329,0.15370773865794438,0.15009005193945138,0.14316474330539086,0.13660976225096663","0.5370675978580737,0.51953512726381,0.50538103760318,0.5234424968486875,0.45283414388808313,0.43196616771294505,0.4010142440647925,0.4409694323095011","0.12076979875564575,0.09820002317428589,0.07901127636432648,0.06225800886750221,0.049115583300590515,0.04016728699207306,0.03880207985639572,0.043225862085819244,0.04751408100128174,0.04903174191713333,0.0495297871530056,0.04513058066368103,0.04289141297340393,0.03902486339211464,0.03559381887316704,0.03443395346403122,0.03364908695220947,0.033322084695100784,0.03192972391843796","0.38103780150413513,0.32320258021354675,0.2663081884384155,0.2111118733882904,0.1606331616640091,0.11938656121492386,0.0923275277018547,0.07938800752162933,0.0752362608909607,0.07541877031326294,0.07878108322620392,0.08483754098415375,0.09294500201940536,0.10149575769901276,0.10894542187452316,0.11448941379785538,0.11750786006450653,0.11805196851491928,0.11637439578771591","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max"
