model,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,loss,val_loss,columns
V0,../../saved_models/model_V0.228,8,8,None,0.3681864001048062,0.284469969015683,0.13556122522213643,0.44591973458227874,"0.2870996074315003,0.34196230716030407,0.3734362181138356,0.3863071399743416,0.3773372719520155,0.38830402069528397,0.3903857846163381,0.3884238563144974","0.2409348584718348,0.2663199680980197,0.29228289615604147,0.29954688062056045,0.2964171985613609,0.29084446546117315,0.29413444109657483,0.2952790436598987","0.08242618458732158,0.11693821951839815,0.1394546089991642,0.14923320639515553,0.14238341680418928,0.1507800124881235,0.1524010608305139,0.1508730921542253","0.4273740516812648,0.4204122493174297,0.45966408659685465,0.459887677966872,0.47152522413297304,0.42721263546601385,0.4438852487952599,0.457396702701562","0.13078796863555908,0.11910863220691681,0.10836876928806305,0.09779499471187592,0.08735167980194092,0.07696926593780518,0.06788855791091919,0.05915940925478935,0.051288362592458725,0.045138973742723465,0.0407637357711792,0.03876938670873642,0.03817319497466087,0.038921840488910675,0.038765035569667816,0.041254203766584396,0.04202079772949219,0.041102733463048935,0.04033596068620682,0.0387287400662899,0.03784755989909172,0.038346774876117706,0.03547460213303566,0.034403882920742035,0.033745650202035904,0.033513303846120834","0.4329725205898285,0.3985218107700348,0.3644692897796631,0.32987937331199646,0.2942652702331543,0.2580031454563141,0.2216804474592209,0.1864846795797348,0.15380029380321503,0.12528015673160553,0.10236789286136627,0.0857662633061409,0.07521315664052963,0.06942477822303772,0.06696810573339462,0.06665528565645218,0.06764320284128189,0.06944027543067932,0.07175493240356445,0.07430865615606308,0.07679091393947601,0.0790223479270935,0.08071944862604141,0.08185770362615585,0.0823892131447792,0.08240380138158798","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.229,8,8,None,0.36592927542882114,0.28143282586660534,0.13390423461586204,0.4430174840159613,"0.2893090209714651,0.34546899828033156,0.3683809632683812,0.3823186189349132,0.38784426092240654,0.3787247062038295,0.3839021155788,0.38088957703023335","0.2377886952343376,0.27038764996128495,0.2866299293301468,0.29649978698622914,0.29257419358817754,0.28177593032506953,0.2912291781646425,0.29457724334295493","0.08369970961546763,0.11934882877281575,0.13570453409854044,0.1461675263842994,0.15042317073044778,0.14343240308917696,0.14738083434587831,0.14507686989027008","0.40581190690907376,0.4342795876810762,0.45786271954061114,0.4462895179140762,0.4281640491746705,0.41987025898843705,0.4668211843329509,0.4850406475867944","0.12046784907579422,0.10765157639980316,0.09512922167778015,0.08390116691589355,0.07138574868440628,0.06152627244591713,0.051551155745983124,0.04396696388721466,0.03815474361181259,0.03552665561437607,0.0370255745947361,0.03878718614578247,0.04113641008734703,0.04568445309996605,0.04554859548807144,0.04429147019982338,0.04095287248492241,0.040087439119815826,0.03843245282769203,0.036280401051044464,0.03414812684059143,0.033438123762607574,0.03275533765554428,0.03241435065865517,0.03100760281085968,0.030393248423933983","0.3835738003253937,0.34315624833106995,0.30291417241096497,0.2623727321624756,0.2219918668270111,0.18262223899364471,0.14580796658992767,0.11382190883159637,0.08905322104692459,0.07333189994096756,0.06662261486053467,0.06569855660200119,0.06652610003948212,0.06661294400691986,0.06573424488306046,0.06488151848316193,0.06502600014209747,0.06649462878704071,0.06918823719024658,0.0725792869925499,0.0759098082780838,0.07868844270706177,0.0805102288722992,0.08147865533828735,0.08153603225946426,0.08088213950395584","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.230,8,8,None,0.37108096851494815,0.2861151640986592,0.13770108519399193,0.4440035013675764,"0.2856427599575676,0.35646828826262,0.3775144796716448,0.38403705963992774,0.3894047964467588,0.39404413396292426,0.3800203065271215,0.3893883675470317","0.23994415930789745,0.2820168307089234,0.2947608475041412,0.2995770100704188,0.30672395299872074,0.29728597210728697,0.2835585127517641,0.2850540273401217","0.0815917863161766,0.12706964053688236,0.1425171823617527,0.1474844631768814,0.15163609549574164,0.15527077951059098,0.1444154333729674,0.15162330078094227","0.41758194830413353,0.44246076800356315,0.4514637035144966,0.4315088045051513,0.47880073749815044,0.45260362234877066,0.4292584992021718,0.44834992756417297","0.12349057197570801,0.1116688996553421,0.10069066286087036,0.08916537463665009,0.07908076047897339,0.06823460757732391,0.058470070362091064,0.04987676814198494,0.04269811511039734,0.038107432425022125,0.03743656724691391,0.0374072790145874,0.04094816371798515,0.04186904430389404,0.0448555052280426,0.04692236706614494,0.043585486710071564,0.04278793931007385,0.0399070642888546,0.03729437291622162,0.03543486446142197,0.03378460183739662,0.03418813273310661,0.03289962187409401,0.032901350408792496,0.03250090405344963,0.03179043531417847","0.39457088708877563,0.36038196086883545,0.32581663131713867,0.29036030173301697,0.25388216972351074,0.21665631234645844,0.17990164458751678,0.14558076858520508,0.11592639237642288,0.09323202818632126,0.07870648801326752,0.07145973294973373,0.06884220242500305,0.06787692755460739,0.066881462931633,0.0657651424407959,0.06529825925827026,0.06617776304483414,0.0685439333319664,0.07204879820346832,0.07600380480289459,0.07970057427883148,0.082674041390419,0.08457527309656143,0.08537835627794266,0.08522640913724899,0.08443231135606766","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.231,8,8,None,0.37064735581808567,0.28673535393663696,0.13737946237493862,0.44659577592871647,"0.3014177793062525,0.3482494683876469,0.3774917020648424,0.37992665914726903,0.3841505958058502,0.39224498997550294,0.3908903658826208,0.38188740103331414","0.24673755074279513,0.2786206193305904,0.2986036552013544,0.2989895055101216,0.29697711538275395,0.29423847897323163,0.29028477794386853,0.2894311284083804","0.09085267768191276,0.12127769223227867,0.14249998512781173,0.14434426633080513,0.1475716802579897,0.15385613216088243,0.1527952781398492,0.1458379870679793","0.4243398087427215,0.44465746606594225,0.46193446863714427,0.45532682399908553,0.45298426990908963,0.43595108195139304,0.43205167325512356,0.46552061486923185","0.12585653364658356,0.1131216511130333,0.10195836424827576,0.09124747663736343,0.08024811744689941,0.06998911499977112,0.059537123888731,0.051957059651613235,0.044469356536865234,0.039570633322000504,0.037580862641334534,0.03782375901937485,0.039570264518260956,0.042507436126470566,0.04508340731263161,0.04597166180610657,0.0432589091360569,0.043037623167037964,0.040491119027137756,0.03864332661032677,0.035823240876197815,0.0347718670964241,0.03371389955282211,0.032998226583004,0.031860217452049255,0.03294723108410835,0.032158199697732925","0.4109579026699066,0.37542274594306946,0.33977246284484863,0.30370426177978516,0.2667127847671509,0.22916482388973236,0.19190460443496704,0.15675270557403564,0.1257820725440979,0.10119372606277466,0.084331214427948,0.07492081820964813,0.07084072381258011,0.06926409155130386,0.06819791346788406,0.06714533269405365,0.06655815988779068,0.06697726994752884,0.06866145879030228,0.07138668745756149,0.07472261041402817,0.0781635269522667,0.0811573788523674,0.08345013111829758,0.08481787145137787,0.08539379388093948,0.0852818414568901","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.232,8,8,None,0.37979235274649503,0.2907360609987111,0.14424223120471813,0.45239481238544077,"0.284296337933468,0.34230593892712147,0.37953747626948764,0.39325389651219317,0.4139213117036258,0.39821298207752537,0.3968988770638353,0.41207961978662877","0.24128155701607695,0.2710486240798705,0.29600591350812333,0.3026218873394701,0.30658419079713906,0.29943613456824386,0.3012607599870527,0.3076494206937118","0.08082440776238062,0.1171733558247782,0.1440486958930119,0.15464862712202274,0.17133085228245015,0.15857357909507555,0.15752871861453344,0.1698096130434925","0.45533587849467805,0.4686354550692004,0.4427954525704587,0.43963320585098004,0.42914534088275746,0.43794526635291253,0.46861609171273805,0.47705180814980064","0.12619657814502716,0.11413820832967758,0.10325641930103302,0.09195714443922043,0.08130572736263275,0.07035018503665924,0.06069024279713631,0.05142727866768837,0.043925072997808456,0.03880833834409714,0.03619229421019554,0.03676376864314079,0.03826048597693443,0.041634075343608856,0.04354414716362953,0.04353663697838783,0.04319963604211807,0.04239172860980034,0.040388546884059906,0.0385119654238224,0.036974724382162094,0.03508710488677025,0.03363833948969841","0.40606456995010376,0.3701818585395813,0.334172785282135,0.29720425605773926,0.25958800315856934,0.22156113386154175,0.1841706782579422,0.1490311473608017,0.1184501126408577,0.09459956735372543,0.07881806045770645,0.07088560611009598,0.06850089877843857,0.06857967376708984,0.06891778856515884,0.06887014210224152,0.06877807527780533,0.06923460215330124,0.07058173418045044,0.07280600070953369,0.0755772516131401,0.07827987521886826,0.08053620159626007","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
