model,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,loss,val_loss,columns
V0,../../saved_models/model_V0.223,8,8,None,0.40712039087328006,0.3144892071682467,0.16574701266481232,0.42191147593692563,"0.2785215440255888,0.37492016006769713,0.3879142060182694,0.4229821776185249,0.4278034566747922,0.4500075697953373,0.43362748319943556,0.4526477283620632","0.22181341610570288,0.28703865626928277,0.30477555579256976,0.33055077421697837,0.3277496002484473,0.34503019518640593,0.33445368149897464,0.3645017780276123","0.077574250486398,0.14056512642518765,0.15047743123078436,0.17891392258290933,0.1830157975429008,0.20250681287310535,0.1880327941858768,0.20488996599133616","0.3300596156136162,0.38361915096693894,0.39390346820924316,0.42099792389500795,0.42471730987625583,0.43614466856987194,0.4590000420617233,0.5268496283027483","0.14216390252113342,0.12272756546735764,0.10548727959394455,0.089432492852211,0.07504118978977203,0.06244413182139397,0.05218544974923134,0.04448680207133293,0.04121335223317146,0.04183264449238777,0.04538876190781593,0.04456552490592003,0.04599838703870773,0.043997518718242645,0.0413081981241703,0.03929523751139641,0.03836752101778984,0.035973697900772095,0.034386858344078064,0.03255724161863327,0.03303305804729462,0.03236720338463783,0.03128538653254509,0.03203985467553139,0.030340421944856644,0.030729295685887337,0.031288694590330124,0.031651291996240616,0.03068222664296627,0.030634472146630287,0.028986049816012383,0.029785454273223877,0.029583290219306946,0.02814832516014576,0.028277475386857986,0.02677866257727146","0.4533930718898773,0.38105982542037964,0.3138820230960846,0.250052273273468,0.1901617795228958,0.1391049027442932,0.1043279767036438,0.09173129498958588,0.09956511855125427,0.11590553820133209,0.1260301172733307,0.12427513301372528,0.11326190084218979,0.0996878370642662,0.08849578350782394,0.0810343325138092,0.07678637653589249,0.074639692902565,0.0735219195485115,0.07271236926317215,0.07179757952690125,0.07070466876029968,0.06955037266016006,0.06861446797847748,0.06803444027900696,0.06781178712844849,0.06797684729099274,0.06869697570800781,0.07005182653665543,0.07208004593849182,0.07462684065103531,0.07772505283355713,0.08130908012390137,0.08508764952421188,0.08919214457273483,0.09301390498876572","Alface Crespa - Roça,Alface Americana - Roça,Alface Lisa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.224,8,8,None,0.4141737928043657,0.31995490255386483,0.17153993064595366,0.43120244425203913,"0.2889647552855884,0.36922541865510233,0.37127902332892904,0.42334903287978587,0.45029085441478783,0.44363310945415585,0.4695567941744886,0.4640723181315759","0.23386528555184902,0.2907839010440678,0.2924069320443338,0.33142872068069407,0.34302373788718526,0.3377726852386404,0.36180423236284726,0.36855372562130123","0.08350062979726,0.13632740978103558,0.13784811316408344,0.17922440364025,0.20276185356959966,0.19681033580396304,0.22048358295542303,0.21536311645601458","0.32972734268504506,0.3894349576298446,0.40704302250497126,0.4333043592015973,0.44347038959751983,0.43424567944573633,0.4931228817097007,0.5192709212418979","0.13087259232997894,0.11554302275180817,0.10176509618759155,0.0889061987400055,0.07613877952098846,0.06407584995031357,0.05416983738541603,0.04644467681646347,0.04157627001404762,0.03996497020125389,0.03885790333151817,0.04116373881697655,0.043123211711645126,0.044132161885499954,0.043896015733480453,0.04120257869362831,0.03832916542887688,0.03797999024391174,0.036435309797525406,0.03474728390574455,0.033541832119226456,0.03317994996905327,0.03237256035208702,0.03231903910636902,0.03117198683321476,0.031343016773462296,0.030808880925178528,0.02996605820953846,0.03023248165845871,0.029721485450863838,0.03025498241186142,0.028900573030114174,0.028458988294005394,0.029006853699684143","0.4194835126399994,0.3598877787590027,0.3014630675315857,0.24374257028102875,0.1887260377407074,0.14063596725463867,0.10497162491083145,0.0876459926366806,0.09020767360925674,0.10636384785175323,0.12611523270606995,0.1395198255777359,0.14125986397266388,0.13311414420604706,0.11934918165206909,0.10548481345176697,0.09442112594842911,0.08630608022212982,0.08066917955875397,0.07688374817371368,0.07443609088659286,0.07303104549646378,0.07237067073583603,0.07219745218753815,0.07237143069505692,0.07281163334846497,0.0735226571559906,0.0745270848274231,0.07592207938432693,0.07768920809030533,0.07976924628019333,0.08202333748340607,0.08428141474723816,0.08646248281002045","Alface Crespa - Roça,Alface Americana - Roça,Alface Lisa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.225,8,8,None,0.41752094011004554,0.3185781621525231,0.17432373543037621,0.4339284246567323,"0.32089121383017577,0.35662538036844804,0.41619689238263274,0.42416717258499154,0.43877535746102386,0.4507590880483739,0.45180422025832356,0.4598530022327531","0.25316050803563506,0.26992756263377576,0.3168496940668032,0.3187799367351206,0.32973146509185497,0.33796841020060764,0.34867576992903226,0.37353195052735555","0.10297117111340359,0.12718166192294025,0.17321985322896077,0.179917790298746,0.19252381431504928,0.2031837554582017,0.20412705344323173,0.21146478366247642","0.346228870505367,0.3899405526116658,0.4014159249525688,0.42124690957865907,0.43932486442647883,0.4523811371660166,0.47814326675149005,0.542745871261613","0.137550950050354,0.11832468956708908,0.10212970525026321,0.08657515048980713,0.07287144660949707,0.06046363711357117,0.05021107569336891,0.04346679896116257,0.03888048231601715,0.039227694272994995,0.04188116267323494,0.04646638408303261,0.04988564923405647,0.04658353328704834,0.042476024478673935,0.038081832230091095,0.03764420002698898,0.03545669466257095,0.03420298174023628,0.03341824188828468,0.03304329887032509,0.03264129161834717,0.03189801424741745,0.030881773680448532,0.031155355274677277,0.030976252630352974,0.030092108994722366,0.030653107911348343,0.030357636511325836","0.43384286761283875,0.3598620295524597,0.2908114194869995,0.22714827954769135,0.16983743011951447,0.1220085471868515,0.08948272466659546,0.07883039116859436,0.09268786758184433,0.12178534269332886,0.1475040167570114,0.1540840119123459,0.14128166437149048,0.11979860812425613,0.09877725690603256,0.0833040401339531,0.07391335070133209,0.06948469579219818,0.0682118609547615,0.06833706051111221,0.0687575563788414,0.06894095987081528,0.06886079162359238,0.06874556839466095,0.06874538213014603,0.06892801821231842,0.06932366639375687,0.07008956372737885,0.07116271555423737","Alface Crespa - Roça,Alface Americana - Roça,Alface Lisa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.226,8,8,None,0.4216379771872925,0.32551536331457853,0.1777785838065918,0.442799247917747,"0.31187086360113553,0.3545820980332297,0.4089313092615381,0.42274205290461747,0.44433490470844184,0.4632789775544861,0.47719417751176896,0.4620886387026623","0.2489864763870325,0.275454264147081,0.31237493123969057,0.3194503511739889,0.3397577160069488,0.3629948153973135,0.37514468334771567,0.36995966881685793","0.0972634355633181,0.12572846424564693,0.1672248156943557,0.1787108432940104,0.1974335075422601,0.21462741104393004,0.22771428305113367,0.21352591001807958","0.3502809364334318,0.388518294333228,0.423710417048064,0.4141184982293235,0.4428427841736758,0.45578520037042786,0.521622332491756,0.5455155202620691","0.12468148022890091,0.10506927967071533,0.08791082352399826,0.07438617199659348,0.060504812747240067,0.05004003643989563,0.042259182780981064,0.03884457051753998,0.038376059383153915,0.042369961738586426,0.04494241625070572,0.046976517885923386,0.043451689183712006,0.04191698879003525,0.03919896483421326,0.0365520678460598,0.03527478873729706,0.0335049033164978,0.031267840415239334,0.031146129593253136,0.030818253755569458,0.030475690960884094,0.03007436916232109,0.03057614155113697,0.03042510710656643,0.02936137281358242,0.03020593337714672,0.029905304312705994,0.02997419610619545","0.35469645261764526,0.28674080967903137,0.22342044115066528,0.16635872423648834,0.11949201673269272,0.08927276730537415,0.08226526528596878,0.0991034284234047,0.12947067618370056,0.15436002612113953,0.16075488924980164,0.1483284831047058,0.12788482010364532,0.10729420930147171,0.09090986847877502,0.080491803586483,0.07512275129556656,0.07323694229125977,0.07304899394512177,0.07332117110490799,0.07348944246768951,0.07340116053819656,0.07330961525440216,0.07331675291061401,0.07354235649108887,0.07410535961389542,0.0751168504357338,0.07650742679834366,0.07824702560901642","Alface Crespa - Roça,Alface Americana - Roça,Alface Lisa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
V0,../../saved_models/model_V0.227,8,8,None,0.41303214737332483,0.3220534302813237,0.17059555476381993,0.43220286260729995,"0.2606770155876302,0.3501225989424718,0.42224419364447624,0.42040368897333613,0.43768913385850605,0.47254469800417054,0.45162994286144564,0.4476123342772144","0.21566483243978232,0.2753931964114288,0.32932335330019913,0.32656108369686665,0.33721046924736064,0.3715255524505778,0.3552323073552861,0.3655166473490886","0.06795250645567358,0.12258583429023094,0.17829015906647394,0.17673926170238954,0.19157177789780924,0.22329849161185275,0.20396960528903266,0.20035680179709675","0.3303632765576314,0.3826886375722778,0.41615903966207013,0.42978905823519686,0.4308700576117033,0.481590901984824,0.4548450392453654,0.5313168899893306","0.11326904594898224,0.09693246334791183,0.08281950652599335,0.06917930394411087,0.05791909247636795,0.048330165445804596,0.04327884316444397,0.04107433930039406,0.042457714676856995,0.04241276532411575,0.04391569644212723,0.04398875683546066,0.042494285851716995,0.04209793359041214,0.03711491823196411,0.03439703956246376,0.03354594111442566,0.033284325152635574,0.03213892877101898,0.03289903700351715,0.031323499977588654,0.030057542026042938,0.031196344643831253,0.030119270086288452,0.030039897188544273,0.02943042665719986,0.029923396185040474,0.0300596896559,0.02919066697359085,0.02933330275118351,0.02803201973438263,0.028027787804603577,0.026556765660643578,0.027401354163885117","0.3394712209701538,0.27686887979507446,0.21762478351593018,0.1643047034740448,0.12144042551517487,0.09581772983074188,0.09122499823570251,0.10199078917503357,0.11562039703130722,0.1225547194480896,0.11892823129892349,0.10768343508243561,0.0945974811911583,0.08332422375679016,0.07624155282974243,0.07295910269021988,0.07187558710575104,0.07162737101316452,0.0715048685669899,0.0712597444653511,0.070799820125103,0.07018698006868362,0.06961910426616669,0.06936286389827728,0.06957395374774933,0.07034450769424438,0.0718492865562439,0.07412955164909363,0.07705193758010864,0.08025145530700684,0.08343984931707382,0.08680036664009094,0.08997656404972076,0.09287424385547638","Alface Crespa - Roça,Alface Americana - Roça,Alface Lisa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50"
